number_of_features,execution_times,fitness,idle_times,times_by_iteration,test_times,train_scores,number_of_iterations,number_of_samples,task,max_iterations,optimizer,kernel
1700,3.0119,0.4364,17.9928,0.2676,0.0489,0.4914,1.0,1082,ranking,1000,rbtree,linear
2100,3.4021,0.5665,17.6027,0.3378,0.0602,0.6067,1.0,1082,ranking,1000,rbtree,linear
2400,3.4799,0.5811,17.5249,0.331,0.0701,0.6047,1.0,1082,ranking,1000,rbtree,linear
2500,3.6521,0.5268,17.3527,0.3624,0.0703,0.5976,1.0,1082,ranking,1000,rbtree,linear
2300,3.7635,0.5664,17.2413,0.3908,0.0672,0.6112,1.0,1082,ranking,1000,rbtree,linear
2200,3.4532,0.5251,17.5516,0.3383,0.064,0.653,1.0,1082,ranking,1000,rbtree,linear
2600,3.6257,0.5737,17.379,0.3461,0.0713,0.622,1.0,1082,ranking,1000,rbtree,linear
2900,3.8463,0.3809,17.1585,0.38,0.0846,0.4596,1.0,1082,ranking,1000,rbtree,linear
3000,3.9208,0.4607,17.0839,0.3892,0.0767,0.4903,1.0,1082,ranking,1000,rbtree,linear
2700,3.701,0.3882,17.3038,0.3691,0.0768,0.4667,1.0,1082,ranking,1000,rbtree,linear
2800,3.8742,0.55,17.1306,0.3932,0.0752,0.6014,1.0,1082,ranking,1000,rbtree,linear
3100,4.0281,0.5939,22.5883,0.402,0.0869,0.6027,1.0,1082,ranking,1000,rbtree,linear
3400,4.4037,0.5566,22.2127,0.4642,0.0912,0.5916,1.0,1082,ranking,1000,rbtree,linear
3500,4.2343,0.5691,22.3821,0.4784,0.0914,0.6166,1.0,1082,ranking,1000,rbtree,linear
3300,4.2865,0.6039,22.3299,0.4603,0.0882,0.6246,1.0,1082,ranking,1000,rbtree,linear
3200,4.0374,0.4426,22.5791,0.4058,0.0913,0.5169,1.0,1082,ranking,1000,rbtree,linear
3600,4.3614,0.5724,22.2551,0.4524,0.0953,0.5904,1.0,1082,ranking,1000,rbtree,linear
3900,4.6795,0.5543,21.9369,0.5085,0.1099,0.6167,1.0,1082,ranking,1000,rbtree,linear
4000,4.6484,0.4072,21.9681,0.4879,0.1117,0.5104,1.0,1082,ranking,1000,rbtree,linear
3800,4.7724,0.5823,21.844,0.4923,0.1029,0.618,1.0,1082,ranking,1000,rbtree,linear
3700,4.5378,0.5508,22.0786,0.4689,0.0999,0.6211,1.0,1082,ranking,1000,rbtree,linear
4100,4.5596,0.4899,22.0568,0.4637,0.1208,0.54,1.0,1082,ranking,1000,rbtree,linear
4400,5.0329,0.5485,21.5835,0.5559,0.1171,0.6237,1.0,1082,ranking,1000,rbtree,linear
4500,5.0026,0.5539,21.6138,0.5163,0.1271,0.5858,1.0,1082,ranking,1000,rbtree,linear
4300,4.9134,0.4469,21.703,0.5262,0.1172,0.5263,1.0,1082,ranking,1000,rbtree,linear
4200,5.0127,0.5665,21.6037,0.5494,0.1285,0.6334,1.0,1082,ranking,1000,rbtree,linear
4800,5.2794,0.5521,26.0276,0.5649,0.1373,0.5973,1.0,1082,ranking,1000,rbtree,linear
4700,5.2229,0.5728,26.0842,0.5683,0.1235,0.6015,1.0,1082,ranking,1000,rbtree,linear
4600,5.1128,0.4496,26.1943,0.5425,0.1245,0.5127,1.0,1082,ranking,1000,rbtree,linear
4900,5.2406,0.4305,26.0665,0.5452,0.1415,0.5238,1.0,1082,ranking,1000,rbtree,linear
5000,5.3937,0.5591,25.9134,0.5852,0.1417,0.6039,1.0,1082,ranking,1000,rbtree,linear
5100,5.551,0.5076,25.756,0.6157,0.1551,0.5977,1.0,1082,ranking,1000,rbtree,linear
5400,5.7202,0.5914,25.5869,0.6129,0.1529,0.6397,1.0,1082,ranking,1000,rbtree,linear
5500,5.7987,0.5364,25.5084,0.6426,0.1542,0.6089,1.0,1082,ranking,1000,rbtree,linear
5200,5.5565,0.5091,25.7505,0.6067,0.148,0.5906,1.0,1082,ranking,1000,rbtree,linear
5300,5.5781,0.5632,25.729,0.6277,0.1488,0.6081,1.0,1082,ranking,1000,rbtree,linear
5700,5.8108,0.5508,25.4962,0.6366,0.1606,0.5759,1.0,1082,ranking,1000,rbtree,linear
5800,5.6859,0.4548,25.6212,0.613,0.159,0.4664,1.0,1082,ranking,1000,rbtree,linear
5600,5.8392,0.5126,25.4678,0.6463,0.1573,0.5802,1.0,1082,ranking,1000,rbtree,linear
5900,5.8939,0.5719,25.4132,0.6599,0.1625,0.5746,1.0,1082,ranking,1000,rbtree,linear
6000,6.0307,0.395,25.2764,0.6619,0.1672,0.5227,1.0,1082,ranking,1000,rbtree,linear
6100,6.2893,0.5542,30.453,0.7019,0.1815,0.6518,1.0,1082,ranking,1000,rbtree,linear
6400,6.4575,0.5135,30.2849,0.7307,0.191,0.5116,1.0,1082,ranking,1000,rbtree,linear
6500,6.4662,0.5357,30.2762,0.7626,0.1728,0.6369,1.0,1082,ranking,1000,rbtree,linear
6200,6.2971,0.3694,30.4453,0.6733,0.1815,0.4918,1.0,1082,ranking,1000,rbtree,linear
6300,6.3258,0.5618,30.4166,0.6992,0.1781,0.5969,1.0,1082,ranking,1000,rbtree,linear
6600,6.4945,0.5672,30.2479,0.7088,0.2095,0.5766,1.0,1082,ranking,1000,rbtree,linear
6900,6.6569,0.5222,30.0855,0.7623,0.1942,0.582,1.0,1082,ranking,1000,rbtree,linear
7000,6.7459,0.583,29.9964,0.7581,0.1891,0.6076,1.0,1082,ranking,1000,rbtree,linear
6800,6.5085,0.5415,30.2338,0.7361,0.1972,0.5985,1.0,1082,ranking,1000,rbtree,linear
6700,6.6702,0.5682,30.0722,0.7974,0.1862,0.6345,1.0,1082,ranking,1000,rbtree,linear
7100,6.9101,0.4762,29.8322,0.7788,0.2003,0.5608,1.0,1082,ranking,1000,rbtree,linear
7400,6.9802,0.582,29.7622,0.7897,0.1995,0.6166,1.0,1082,ranking,1000,rbtree,linear
7500,6.8902,0.4678,29.8522,0.767,0.2017,0.484,1.0,1082,ranking,1000,rbtree,linear
7300,6.9376,0.5441,29.8048,0.804,0.2015,0.5884,1.0,1082,ranking,1000,rbtree,linear
7200,6.884,0.4965,29.8584,0.7515,0.228,0.5037,1.0,1082,ranking,1000,rbtree,linear
7600,7.2038,0.5711,35.5847,0.8419,0.2042,0.5981,1.0,1082,ranking,1000,rbtree,linear
7700,7.2753,0.568,35.5132,0.8265,0.2152,0.6198,1.0,1082,ranking,1000,rbtree,linear
7900,7.4675,0.5692,35.3211,0.8889,0.2245,0.616,1.0,1082,ranking,1000,rbtree,linear
8000,7.6244,0.5659,35.1641,0.8753,0.2393,0.6111,1.0,1082,ranking,1000,rbtree,linear
7800,7.5354,0.5524,35.2532,0.8825,0.2442,0.6138,1.0,1082,ranking,1000,rbtree,linear
8100,7.6829,0.5826,35.1056,0.8707,0.2363,0.613,1.0,1082,ranking,1000,rbtree,linear
8400,7.4605,0.4979,35.328,0.8483,0.2325,0.5151,1.0,1082,ranking,1000,rbtree,linear
8500,7.9444,0.5583,34.8441,0.9363,0.2454,0.6241,1.0,1082,ranking,1000,rbtree,linear
8200,7.4701,0.4857,35.3185,0.8495,0.2375,0.5035,1.0,1082,ranking,1000,rbtree,linear
8300,7.4631,0.4576,35.3254,0.8703,0.2392,0.4705,1.0,1082,ranking,1000,rbtree,linear
8600,8.07,0.5985,34.7185,0.9377,0.2612,0.6336,1.0,1082,ranking,1000,rbtree,linear
8900,8.0966,0.5534,34.6919,0.9286,0.2553,0.6255,1.0,1082,ranking,1000,rbtree,linear
9000,8.1617,0.577,34.6268,0.938,0.26,0.6331,1.0,1082,ranking,1000,rbtree,linear
8700,7.9773,0.5792,34.8112,0.9509,0.2439,0.628,1.0,1082,ranking,1000,rbtree,linear
8800,8.2588,0.5631,34.5297,0.9429,0.2624,0.6476,1.0,1082,ranking,1000,rbtree,linear
9100,8.3333,0.5589,39.6311,0.9909,0.2643,0.5852,1.0,1082,ranking,1000,rbtree,linear
9400,8.2844,0.6079,39.68,0.9851,0.2541,0.6201,1.0,1082,ranking,1000,rbtree,linear
9500,8.5126,0.5063,39.4517,1.0122,0.2619,0.5324,1.0,1082,ranking,1000,rbtree,linear
9200,8.326,0.496,39.6383,0.9673,0.2728,0.5122,1.0,1082,ranking,1000,rbtree,linear
9300,8.2294,0.598,39.7349,0.9812,0.2474,0.6369,1.0,1082,ranking,1000,rbtree,linear
9600,8.3689,0.4841,39.5955,0.9687,0.2725,0.5024,1.0,1082,ranking,1000,rbtree,linear
9900,8.7643,0.5616,39.2,1.0527,0.2863,0.6115,1.0,1082,ranking,1000,rbtree,linear
10000,8.876,0.4887,39.0883,1.0476,0.2882,0.5125,1.0,1082,ranking,1000,rbtree,linear
9700,8.5684,0.5459,39.396,1.0255,0.2683,0.6041,1.0,1082,ranking,1000,rbtree,linear
9800,8.6276,0.4369,39.3367,1.0143,0.2788,0.4801,1.0,1082,ranking,1000,rbtree,linear
10100,8.8168,0.5783,39.1476,1.0383,0.3078,0.6432,1.0,1082,ranking,1000,rbtree,linear
10400,9.1507,0.5539,38.8137,1.1059,0.3062,0.6277,1.0,1082,ranking,1000,rbtree,linear
10500,9.6984,0.4932,38.266,1.1846,0.3488,0.5262,1.0,1082,ranking,1000,rbtree,linear
10300,9.0659,0.5799,38.8984,1.0791,0.299,0.6179,1.0,1082,ranking,1000,rbtree,linear
10200,8.991,0.4587,38.9734,1.0612,0.3146,0.4798,1.0,1082,ranking,1000,rbtree,linear
10800,9.6113,0.5653,42.6063,1.1398,0.3342,0.6277,1.0,1082,ranking,1000,rbtree,linear
10700,9.2367,0.5769,42.9809,1.1065,0.2916,0.6181,1.0,1082,ranking,1000,rbtree,linear
10600,9.353,0.5765,42.8645,1.1149,0.294,0.6416,1.0,1082,ranking,1000,rbtree,linear
10900,9.2784,0.4662,42.9391,1.1059,0.3137,0.5053,1.0,1082,ranking,1000,rbtree,linear
11000,9.5664,0.506,42.6512,1.1548,0.3077,0.5217,1.0,1082,ranking,1000,rbtree,linear
11100,9.493,0.451,42.7246,1.1094,0.3362,0.5034,1.0,1082,ranking,1000,rbtree,linear
11400,9.8623,0.5014,42.3553,1.168,0.3485,0.5125,1.0,1082,ranking,1000,rbtree,linear
11500,10.1299,0.5726,42.0877,1.2474,0.3448,0.6281,1.0,1082,ranking,1000,rbtree,linear
11200,9.5772,0.5649,42.6404,1.18,0.2993,0.6253,1.0,1082,ranking,1000,rbtree,linear
11300,9.8741,0.5703,42.3434,1.2062,0.3322,0.6303,1.0,1082,ranking,1000,rbtree,linear
11700,9.8448,0.5499,42.3727,1.1946,0.3307,0.6344,1.0,1082,ranking,1000,rbtree,linear
11800,10.0195,0.5711,42.198,1.2274,0.3236,0.6262,1.0,1082,ranking,1000,rbtree,linear
11600,9.6923,0.4648,42.5253,1.1466,0.3213,0.5128,1.0,1082,ranking,1000,rbtree,linear
11900,10.2461,0.5602,41.9714,1.2772,0.3575,0.6163,1.0,1082,ranking,1000,rbtree,linear
12000,10.1437,0.5918,42.0738,1.254,0.3286,0.6139,1.0,1082,ranking,1000,rbtree,linear
12300,10.3815,0.4719,100.8631,1.2489,0.3802,0.5123,1.0,1082,ranking,1000,rbtree,linear
12200,10.5842,0.5745,100.6604,1.2606,0.3499,0.6204,1.0,1082,ranking,1000,rbtree,linear
12100,10.5472,0.4297,100.6974,1.2341,0.3597,0.4802,1.0,1082,ranking,1000,rbtree,linear
12400,10.7856,0.4722,100.459,1.2706,0.3588,0.5111,1.0,1082,ranking,1000,rbtree,linear
12500,10.8903,0.5117,100.3542,1.2655,0.4,0.532,1.0,1082,ranking,1000,rbtree,linear
12600,10.5512,0.5496,100.6934,1.3077,0.3453,0.6008,1.0,1082,ranking,1000,rbtree,linear
12900,10.9232,0.4805,100.3213,1.334,0.4052,0.5179,1.0,1082,ranking,1000,rbtree,linear
13000,10.6319,0.5107,100.6127,1.2558,0.3719,0.5415,1.0,1082,ranking,1000,rbtree,linear
12800,10.5357,0.4683,100.7088,1.2667,0.3643,0.5104,1.0,1082,ranking,1000,rbtree,linear
12700,10.2978,0.5152,100.9468,1.2263,0.3383,0.5335,1.0,1082,ranking,1000,rbtree,linear
13100,11.2416,0.4683,100.003,1.3127,0.3813,0.5122,1.0,1082,ranking,1000,rbtree,linear
13400,11.631,0.4983,99.6136,1.3712,0.401,0.5469,1.0,1082,ranking,1000,rbtree,linear
13500,11.3715,0.4933,99.8731,1.3427,0.3571,0.5306,1.0,1082,ranking,1000,rbtree,linear
13300,11.425,0.5078,99.8196,1.3374,0.4113,0.5333,1.0,1082,ranking,1000,rbtree,linear
13200,11.2476,0.5782,99.997,1.3303,0.3703,0.6265,1.0,1082,ranking,1000,rbtree,linear
13600,11.8597,0.5156,113.7629,1.4113,0.4,0.5454,1.0,1082,ranking,1000,rbtree,linear
13900,11.2577,0.485,114.3649,1.3803,0.3904,0.5188,1.0,1082,ranking,1000,rbtree,linear
14000,11.7847,0.5149,113.8379,1.453,0.4435,0.5401,1.0,1082,ranking,1000,rbtree,linear
13700,11.1213,0.5151,114.5013,1.3969,0.3831,0.5242,1.0,1082,ranking,1000,rbtree,linear
13800,11.0497,0.486,114.5729,1.3508,0.3856,0.5194,1.0,1082,ranking,1000,rbtree,linear
14200,11.7446,0.481,113.8781,1.4348,0.4166,0.529,1.0,1082,ranking,1000,rbtree,linear
14300,12.232,0.5659,113.3906,1.4249,0.4236,0.6331,1.0,1082,ranking,1000,rbtree,linear
14100,11.9101,0.4913,113.7125,1.4,0.4204,0.5247,1.0,1082,ranking,1000,rbtree,linear
14400,12.0095,0.4617,113.6132,1.4299,0.419,0.5088,1.0,1082,ranking,1000,rbtree,linear
14500,12.275,0.4819,113.3476,1.4827,0.4606,0.518,1.0,1082,ranking,1000,rbtree,linear
14600,12.0903,0.4734,113.5323,1.4525,0.4367,0.5257,1.0,1082,ranking,1000,rbtree,linear
14900,12.8136,0.4784,112.8091,1.5121,0.4796,0.514,1.0,1082,ranking,1000,rbtree,linear
15000,12.5101,0.5722,113.1125,1.5593,0.4416,0.6316,1.0,1082,ranking,1000,rbtree,linear
14700,12.2416,0.4688,113.3811,1.4662,0.4047,0.5201,1.0,1082,ranking,1000,rbtree,linear
14800,12.5072,0.5483,113.1155,1.5196,0.4181,0.6347,1.0,1082,ranking,1000,rbtree,linear
15100,12.3997,0.5125,56.2765,1.5535,0.448,0.5423,1.0,1082,ranking,1000,rbtree,linear
15400,12.4087,0.57,56.2675,1.5743,0.46,0.6198,1.0,1082,ranking,1000,rbtree,linear
15500,12.3363,0.4905,56.3399,1.4922,0.4501,0.5207,1.0,1082,ranking,1000,rbtree,linear
15200,12.0769,0.4775,56.5993,1.4959,0.4279,0.5232,1.0,1082,ranking,1000,rbtree,linear
15300,12.7863,0.4869,55.8899,1.5636,0.5193,0.5223,1.0,1082,ranking,1000,rbtree,linear
15600,13.3218,0.4876,55.3543,1.6778,0.5488,0.538,1.0,1082,ranking,1000,rbtree,linear
15900,12.5963,0.468,56.0799,1.5531,0.4496,0.5112,1.0,1082,ranking,1000,rbtree,linear
16000,13.1361,0.5172,55.5401,1.6559,0.5012,0.5494,1.0,1082,ranking,1000,rbtree,linear
15700,12.8059,0.4967,55.8703,1.5502,0.4944,0.538,1.0,1082,ranking,1000,rbtree,linear
15800,12.9787,0.578,55.6974,1.611,0.4479,0.6279,1.0,1082,ranking,1000,rbtree,linear
16100,12.9223,0.4788,55.7538,1.6088,0.482,0.527,1.0,1082,ranking,1000,rbtree,linear
16400,13.0229,0.5757,55.6532,1.6249,0.4906,0.6285,1.0,1082,ranking,1000,rbtree,linear
16500,13.2,0.4835,55.4762,1.5956,0.5144,0.5326,1.0,1082,ranking,1000,rbtree,linear
16300,12.9972,0.4158,55.6789,1.6004,0.4593,0.504,1.0,1082,ranking,1000,rbtree,linear
16200,12.5367,0.5741,56.1394,1.5585,0.4391,0.6294,1.0,1082,ranking,1000,rbtree,linear
16600,13.2989,0.4765,60.1806,1.6219,0.5182,0.5332,1.0,1082,ranking,1000,rbtree,linear
16900,13.5573,0.4746,59.9222,1.6845,0.5173,0.5163,1.0,1082,ranking,1000,rbtree,linear
17000,13.6863,0.5096,59.7932,1.7293,0.5212,0.5485,1.0,1082,ranking,1000,rbtree,linear
16800,12.9458,0.4899,60.5338,1.5898,0.4674,0.5432,1.0,1082,ranking,1000,rbtree,linear
16700,13.2881,0.4779,60.1914,1.6787,0.4873,0.532,1.0,1082,ranking,1000,rbtree,linear
17100,13.5988,0.4812,59.8808,1.6818,0.5298,0.5305,1.0,1082,ranking,1000,rbtree,linear
17400,13.807,0.4853,59.6725,1.719,0.5032,0.5294,1.0,1082,ranking,1000,rbtree,linear
17500,14.0811,0.4741,59.3984,1.7541,0.5573,0.5193,1.0,1082,ranking,1000,rbtree,linear
17200,13.5532,0.4881,59.9263,1.6883,0.5044,0.5261,1.0,1082,ranking,1000,rbtree,linear
17300,13.6801,0.4849,59.7994,1.7056,0.5345,0.5276,1.0,1082,ranking,1000,rbtree,linear
17600,14.0456,0.4751,59.434,1.7351,0.5286,0.5171,1.0,1082,ranking,1000,rbtree,linear
17900,14.4662,0.4779,59.0133,1.8023,0.5565,0.5343,1.0,1082,ranking,1000,rbtree,linear
18000,14.2961,0.48,59.1834,1.7488,0.5412,0.5219,1.0,1082,ranking,1000,rbtree,linear
17700,14.1016,0.4874,59.378,1.7069,0.5244,0.518,1.0,1082,ranking,1000,rbtree,linear
17800,14.0934,0.4806,59.3861,1.7367,0.5379,0.5218,1.0,1082,ranking,1000,rbtree,linear
18100,14.1971,0.4776,66.9873,1.7893,0.5058,0.5304,1.0,1082,ranking,1000,rbtree,linear
18400,14.3296,0.4762,66.8547,1.8096,0.5426,0.5306,1.0,1082,ranking,1000,rbtree,linear
18500,14.2937,0.565,66.8907,1.8312,0.5088,0.627,1.0,1082,ranking,1000,rbtree,linear
18300,13.9521,0.4768,67.2323,1.7508,0.5052,0.516,1.0,1082,ranking,1000,rbtree,linear
18200,14.0651,0.4779,67.1193,1.7238,0.5662,0.534,1.0,1082,ranking,1000,rbtree,linear
18700,14.8416,0.4716,66.3428,1.8792,0.5913,0.5262,1.0,1082,ranking,1000,rbtree,linear
18600,14.1943,0.4949,66.9901,1.7781,0.5172,0.5499,1.0,1082,ranking,1000,rbtree,linear
18900,15.2741,0.4819,65.9102,1.9488,0.6138,0.535,1.0,1082,ranking,1000,rbtree,linear
19000,14.4475,0.5057,66.7369,1.7859,0.5541,0.5465,1.0,1082,ranking,1000,rbtree,linear
18800,14.0792,0.4779,67.1052,1.7833,0.496,0.5314,1.0,1082,ranking,1000,rbtree,linear
19300,15.9471,0.4774,65.2372,1.9095,0.635,0.5324,1.0,1082,ranking,1000,rbtree,linear
19200,15.3235,0.4724,65.8608,1.9162,0.6141,0.5261,1.0,1082,ranking,1000,rbtree,linear
19100,14.8347,0.4796,66.3497,1.8492,0.5465,0.5336,1.0,1082,ranking,1000,rbtree,linear
19400,15.273,0.4758,65.9114,1.9437,0.5792,0.5324,1.0,1082,ranking,1000,rbtree,linear
19500,15.5628,0.4767,65.6216,1.9644,0.6079,0.5327,1.0,1082,ranking,1000,rbtree,linear
19600,16.9011,0.476,32.3373,2.1044,0.6016,0.5327,1.0,1082,ranking,1000,rbtree,linear
19700,15.6114,0.5693,33.627,1.9708,0.5914,0.6306,1.0,1082,ranking,1000,rbtree,linear
19900,15.6463,0.4761,33.5921,1.9358,0.6203,0.5328,1.0,1082,ranking,1000,rbtree,linear
19800,15.2778,0.4767,33.9606,1.9547,0.5763,0.5331,1.0,1082,ranking,1000,rbtree,linear
20000,15.9849,0.4764,33.2536,2.021,0.5844,0.5332,1.0,1082,ranking,1000,rbtree,linear
100,13.2467,0.4993,33.6543,0.389,0.0074,0.8197,10.6,1082,ranking,1000,rbtree,linear
400,4.2483,0.5329,42.6527,0.1913,0.015,0.7166,2.5,1082,ranking,1000,rbtree,linear
500,2.2767,0.59,44.6243,0.162,0.0216,0.5599,1.0,1082,ranking,1000,rbtree,linear
300,4.3314,0.5217,42.5696,0.192,0.0123,0.6783,2.3,1082,ranking,1000,rbtree,linear
200,19.7551,0.4852,27.1459,0.3806,0.0098,0.8129,8.4,1082,ranking,1000,rbtree,linear
600,2.583,0.5507,44.318,0.2105,0.0227,0.6605,1.3,1082,ranking,1000,rbtree,linear
900,2.6101,0.5582,44.2909,0.221,0.0274,0.619,1.0,1082,ranking,1000,rbtree,linear
1000,2.5864,0.4509,44.3146,0.2036,0.0305,0.4792,1.0,1082,ranking,1000,rbtree,linear
800,2.5558,0.5509,44.3452,0.2022,0.0249,0.552,1.0,1082,ranking,1000,rbtree,linear
700,2.4308,0.5015,44.4702,0.1806,0.0241,0.5426,1.0,1082,ranking,1000,rbtree,linear
1100,2.8016,0.5487,44.0994,0.2673,0.0337,0.6525,1.0,1082,ranking,1000,rbtree,linear
1400,2.9011,0.5654,43.9999,0.2516,0.042,0.6099,1.0,1082,ranking,1000,rbtree,linear
1500,3.0213,0.5763,43.8797,0.2792,0.0439,0.6047,1.0,1082,ranking,1000,rbtree,linear
1200,2.8494,0.4959,44.0516,0.261,0.0369,0.6279,1.0,1082,ranking,1000,rbtree,linear
1300,2.7727,0.591,44.1284,0.2262,0.0384,0.5796,1.0,1082,ranking,1000,rbtree,linear
1600,3.0347,0.6017,18.3326,0.2742,0.0505,0.5842,1.0,1082,ranking,1000,rbtree,linear
1900,3.2851,0.5716,18.0823,0.2978,0.0593,0.6058,1.0,1082,ranking,1000,rbtree,linear
2000,3.3145,0.5921,18.0528,0.3124,0.057,0.5958,1.0,1082,ranking,1000,rbtree,linear
1800,3.1844,0.5889,18.1829,0.3057,0.0544,0.6156,1.0,1082,ranking,1000,rbtree,linear
1700,3.0238,0.5751,18.3435,0.2611,0.0509,0.5682,1.0,1082,ranking,1000,rbtree,linear
2100,3.4073,0.5246,17.96,0.33,0.0645,0.6435,1.0,1082,ranking,1000,rbtree,linear
2400,3.6273,0.567,17.74,0.3726,0.0678,0.6165,1.0,1082,ranking,1000,rbtree,linear
2500,3.5826,0.4022,17.7848,0.3439,0.069,0.4822,1.0,1082,ranking,1000,rbtree,linear
2200,3.2646,0.4244,18.1027,0.3201,0.0638,0.5174,1.0,1082,ranking,1000,rbtree,linear
2300,3.4775,0.3928,17.8898,0.3243,0.0726,0.4933,1.0,1082,ranking,1000,rbtree,linear
2600,3.7378,0.4314,17.6295,0.3731,0.0706,0.5032,1.0,1082,ranking,1000,rbtree,linear
2900,3.9693,0.3825,17.398,0.3851,0.0843,0.4749,1.0,1082,ranking,1000,rbtree,linear
3000,3.9476,0.5525,17.4197,0.3992,0.0823,0.5683,1.0,1082,ranking,1000,rbtree,linear
2700,3.7919,0.4523,17.5755,0.3734,0.0775,0.4967,1.0,1082,ranking,1000,rbtree,linear
2800,3.9265,0.568,17.4408,0.407,0.0783,0.5986,1.0,1082,ranking,1000,rbtree,linear
3100,3.9654,0.4237,23.0245,0.3884,0.0964,0.4796,1.0,1082,ranking,1000,rbtree,linear
3400,4.2393,0.4003,22.7505,0.4166,0.0995,0.4952,1.0,1082,ranking,1000,rbtree,linear
3500,4.2362,0.5309,22.7537,0.4314,0.0957,0.5482,1.0,1082,ranking,1000,rbtree,linear
3200,4.1545,0.566,22.8353,0.4387,0.0905,0.6218,1.0,1082,ranking,1000,rbtree,linear
3300,4.3496,0.5193,22.6403,0.4693,0.0996,0.6551,1.0,1082,ranking,1000,rbtree,linear
3600,4.519,0.5774,22.4709,0.4904,0.1024,0.6166,1.0,1082,ranking,1000,rbtree,linear
3900,4.5752,0.5513,22.4146,0.4794,0.1122,0.5463,1.0,1082,ranking,1000,rbtree,linear
4000,4.5507,0.4523,22.4392,0.4551,0.1077,0.4817,1.0,1082,ranking,1000,rbtree,linear
3800,4.7125,0.5476,22.2774,0.5021,0.115,0.6209,1.0,1082,ranking,1000,rbtree,linear
3700,4.4702,0.579,22.5197,0.4482,0.1022,0.5873,1.0,1082,ranking,1000,rbtree,linear
4100,5.008,0.5612,21.9818,0.5455,0.1158,0.6063,1.0,1082,ranking,1000,rbtree,linear
4400,4.88,0.5168,22.1099,0.4953,0.1235,0.5079,1.0,1082,ranking,1000,rbtree,linear
4500,5.0754,0.5911,21.9145,0.5486,0.1349,0.6152,1.0,1082,ranking,1000,rbtree,linear
4300,4.9057,0.4026,22.0841,0.5107,0.1297,0.4849,1.0,1082,ranking,1000,rbtree,linear
4200,5.0194,0.5892,21.9705,0.5498,0.1164,0.6183,1.0,1082,ranking,1000,rbtree,linear
4600,5.1642,0.4693,27.3658,0.5445,0.1471,0.5665,1.0,1082,ranking,1000,rbtree,linear
4900,5.4679,0.5785,27.0621,0.6051,0.1372,0.6268,1.0,1082,ranking,1000,rbtree,linear
5000,5.3969,0.5788,27.133,0.5734,0.1472,0.5981,1.0,1082,ranking,1000,rbtree,linear
4800,5.4071,0.5458,27.1229,0.5709,0.1341,0.545,1.0,1082,ranking,1000,rbtree,linear
4700,5.2443,0.497,27.2856,0.5258,0.1397,0.513,1.0,1082,ranking,1000,rbtree,linear
5100,5.4747,0.5652,27.0552,0.6012,0.1548,0.6131,1.0,1082,ranking,1000,rbtree,linear
5400,5.6763,0.5605,26.8536,0.627,0.157,0.5638,1.0,1082,ranking,1000,rbtree,linear
5500,5.8075,0.5513,26.7224,0.6603,0.1589,0.621,1.0,1082,ranking,1000,rbtree,linear
5200,5.5134,0.5564,27.0165,0.5936,0.1516,0.5764,1.0,1082,ranking,1000,rbtree,linear
5300,5.555,0.5195,26.9749,0.6178,0.1411,0.5832,1.0,1082,ranking,1000,rbtree,linear
5600,6.0626,0.5644,26.4673,0.6755,0.1617,0.6135,1.0,1082,ranking,1000,rbtree,linear
5900,6.2545,0.467,26.2755,0.6524,0.1824,0.516,1.0,1082,ranking,1000,rbtree,linear
6000,5.9676,0.4542,26.5623,0.6523,0.1545,0.4926,1.0,1082,ranking,1000,rbtree,linear
5700,6.002,0.5345,26.5279,0.6472,0.1585,0.6274,1.0,1082,ranking,1000,rbtree,linear
5800,6.1726,0.5484,26.3574,0.6766,0.1688,0.5915,1.0,1082,ranking,1000,rbtree,linear
6100,6.1378,0.5077,30.8814,0.6928,0.1642,0.608,1.0,1082,ranking,1000,rbtree,linear
6400,6.3405,0.4879,30.6788,0.6945,0.1896,0.5003,1.0,1082,ranking,1000,rbtree,linear
6500,6.4706,0.5669,30.5487,0.7145,0.1854,0.591,1.0,1082,ranking,1000,rbtree,linear
6200,6.0953,0.5671,30.924,0.6721,0.1687,0.623,1.0,1082,ranking,1000,rbtree,linear
6300,6.1712,0.5905,30.848,0.6918,0.167,0.6239,1.0,1082,ranking,1000,rbtree,linear
6600,6.2144,0.5388,30.8048,0.6823,0.1854,0.5425,1.0,1082,ranking,1000,rbtree,linear
6900,6.6082,0.5719,30.4111,0.7261,0.1906,0.6162,1.0,1082,ranking,1000,rbtree,linear
7000,6.5951,0.534,30.4242,0.7567,0.1899,0.5455,1.0,1082,ranking,1000,rbtree,linear
6700,6.5363,0.5316,30.483,0.7433,0.1879,0.6228,1.0,1082,ranking,1000,rbtree,linear
6800,6.645,0.5005,30.3742,0.7477,0.1926,0.5674,1.0,1082,ranking,1000,rbtree,linear
7100,6.7726,0.4896,30.2466,0.7373,0.2135,0.5137,1.0,1082,ranking,1000,rbtree,linear
7400,7.1254,0.5542,29.8939,0.8129,0.2178,0.5726,1.0,1082,ranking,1000,rbtree,linear
7500,7.2398,0.5742,29.7794,0.8542,0.2107,0.6199,1.0,1082,ranking,1000,rbtree,linear
7300,6.8467,0.4585,30.1726,0.7703,0.2011,0.493,1.0,1082,ranking,1000,rbtree,linear
7200,6.9024,0.5684,30.1169,0.7848,0.2034,0.6169,1.0,1082,ranking,1000,rbtree,linear
