number_of_features,execution_times,fitness,idle_times,times_by_iteration,test_times,train_scores,number_of_iterations,number_of_samples,task,max_iterations,optimizer,kernel
6000,5.8874,0.4858,24.9479,0.6353,0.1641,0.498,1.0,1082,ranking,1000,rbtree,linear
5700,5.7225,0.5435,25.1127,0.6378,0.1486,0.575,1.0,1082,ranking,1000,rbtree,linear
5800,5.7936,0.4951,25.0416,0.6145,0.1689,0.5021,1.0,1082,ranking,1000,rbtree,linear
6100,5.9367,0.5615,30.7268,0.6699,0.1679,0.6056,1.0,1082,ranking,1000,rbtree,linear
6400,6.129,0.5682,30.5345,0.6822,0.1658,0.6335,1.0,1082,ranking,1000,rbtree,linear
6500,6.1543,0.5724,30.5091,0.6879,0.1667,0.6264,1.0,1082,ranking,1000,rbtree,linear
6200,5.9735,0.4974,30.69,0.6416,0.1697,0.521,1.0,1082,ranking,1000,rbtree,linear
6300,6.218,0.6028,30.4454,0.6841,0.1917,0.638,1.0,1082,ranking,1000,rbtree,linear
6600,6.2514,0.4654,30.412,0.6818,0.1784,0.4975,1.0,1082,ranking,1000,rbtree,linear
6900,6.414,0.4921,30.2495,0.7041,0.188,0.5096,1.0,1082,ranking,1000,rbtree,linear
7000,6.7414,0.5588,29.922,0.7437,0.2062,0.6171,1.0,1082,ranking,1000,rbtree,linear
6700,6.5059,0.4435,30.1575,0.7102,0.1883,0.4786,1.0,1082,ranking,1000,rbtree,linear
6800,6.6241,0.5696,30.0394,0.7475,0.1854,0.6269,1.0,1082,ranking,1000,rbtree,linear
7100,6.7175,0.5634,29.9459,0.7446,0.1912,0.5878,1.0,1082,ranking,1000,rbtree,linear
7400,6.9674,0.5755,29.6961,0.8105,0.2156,0.6163,1.0,1082,ranking,1000,rbtree,linear
7500,7.0363,0.5791,29.6272,0.8075,0.2241,0.6215,1.0,1082,ranking,1000,rbtree,linear
7200,6.7686,0.4893,29.8948,0.7438,0.2028,0.5164,1.0,1082,ranking,1000,rbtree,linear
7300,6.9463,0.5111,29.7171,0.7707,0.2197,0.5145,1.0,1082,ranking,1000,rbtree,linear
7600,7.045,0.5683,33.7604,0.7852,0.2188,0.6137,1.0,1082,ranking,1000,rbtree,linear
7900,7.4273,0.5112,33.3782,0.8614,0.2407,0.5345,1.0,1082,ranking,1000,rbtree,linear
8000,7.2294,0.5711,33.5761,0.8351,0.2155,0.6174,1.0,1082,ranking,1000,rbtree,linear
7700,7.0797,0.4876,33.7257,0.7911,0.2325,0.4984,1.0,1082,ranking,1000,rbtree,linear
7800,7.0833,0.5032,33.7221,0.7834,0.2133,0.5001,1.0,1082,ranking,1000,rbtree,linear
8100,7.1594,0.5888,33.646,0.8321,0.2092,0.6281,1.0,1082,ranking,1000,rbtree,linear
8400,7.5279,0.5229,33.2775,0.87,0.2374,0.6237,1.0,1082,ranking,1000,rbtree,linear
8500,7.4732,0.4405,33.3323,0.8388,0.2191,0.4945,1.0,1082,ranking,1000,rbtree,linear
8200,7.5579,0.5547,33.2475,0.9145,0.2325,0.6325,1.0,1082,ranking,1000,rbtree,linear
8300,7.4934,0.5065,33.312,0.8633,0.2539,0.5365,1.0,1082,ranking,1000,rbtree,linear
8600,7.6354,0.568,33.17,0.882,0.2529,0.6141,1.0,1082,ranking,1000,rbtree,linear
8900,7.6493,0.4959,33.1561,0.8579,0.2307,0.5225,1.0,1082,ranking,1000,rbtree,linear
9000,7.7839,0.4689,33.0216,0.9169,0.2298,0.5703,1.0,1082,ranking,1000,rbtree,linear
8800,7.867,0.5795,32.9384,0.9313,0.2385,0.6504,1.0,1082,ranking,1000,rbtree,linear
8700,7.668,0.5654,33.1374,0.9117,0.2272,0.606,1.0,1082,ranking,1000,rbtree,linear
9100,8.0681,0.5637,37.7823,0.9619,0.2665,0.6168,1.0,1082,ranking,1000,rbtree,linear
9400,8.2263,0.5732,37.624,0.9671,0.2647,0.6042,1.0,1082,ranking,1000,rbtree,linear
9500,8.288,0.5403,37.5624,0.9863,0.2685,0.606,1.0,1082,ranking,1000,rbtree,linear
9300,7.9983,0.4749,37.852,0.9164,0.2588,0.5071,1.0,1082,ranking,1000,rbtree,linear
9200,8.0661,0.5745,37.7842,0.9538,0.2506,0.6304,1.0,1082,ranking,1000,rbtree,linear
9600,8.3488,0.504,37.5015,0.9603,0.2824,0.5185,1.0,1082,ranking,1000,rbtree,linear
9900,8.4914,0.4412,37.359,0.9808,0.2981,0.4797,1.0,1082,ranking,1000,rbtree,linear
10000,8.7802,0.5045,37.0702,1.0182,0.3116,0.5053,1.0,1082,ranking,1000,rbtree,linear
9800,8.2694,0.5582,37.5809,0.9711,0.2608,0.5899,1.0,1082,ranking,1000,rbtree,linear
