Iteration,Mean,Std
1.0,393.98323400815326,254.93874057528242
2.0,205.24083542823792,123.61998797119806
3.0,186.1351087888082,111.86531693098816
4.0,158.77033638954163,93.56923976653741
5.0,181.14953549702963,109.59497917152869
6.0,182.64257907867432,110.86703793910097
7.0,194.7716306845347,119.56079133097765
8.0,174.9889256954193,105.9944122399064
9.0,196.96733705202737,121.53954026527455
10.0,179.78904676437378,109.46330801547766
11.0,149.40207703908285,90.0884868956348
12.0,188.02283747990927,115.52634108661947
13.0,182.46815156936646,111.68847396180561
14.0,180.9259405930837,110.7527578719725
15.0,202.17925771077475,126.1048446960289
16.0,234.23560722668967,149.00764725144882
17.0,203.683607339859,126.79229720124046
18.0,198.0978435675303,122.82402444680972
19.0,178.53892056147257,109.51025190438787
20.0,202.4407478173574,125.85435228125027
21.0,203.15402388572693,126.42229752988996
22.0,234.42584911982217,148.71167863872665
23.0,179.2564795811971,109.61047035546368
24.0,221.79798022905985,139.59886017083335
25.0,201.0066486199697,124.87261971465962
