Number of features,Execution time,Predicted time
82,4.574235,5.427300000000001
112,7.956315000000001,6.904999999999999
113,7.98201,7.472499999999999
114,7.9043125000000005,7.472499999999999
115,6.956791666666667,6.997799999999998
116,7.139215454545454,6.997799999999998
117,7.83649,7.3775
118,7.5099775,7.3774999999999995
119,7.496374545454545,7.267600000000002
120,6.9482175,7.079099999999998
121,7.377713636363636,7.079099999999998
122,7.954060000000001,7.522599999999998
123,7.3149540625,7.1823
124,7.082757142857142,7.007000000000001
125,7.5983527027027025,7.349900000000001
126,7.357525853658537,7.2196
127,7.644816756756756,7.4007
128,7.169421428571429,7.0629
129,7.486220930232558,7.297899999999999
130,7.168554102564102,7.0421
131,7.550470263157896,7.323000000000002
132,7.437207209302325,7.2925999999999975
133,7.37490074074074,7.174999999999997
134,7.3443682758620685,7.169299999999999
135,7.218538000000001,7.053200000000001
136,7.600241851851851,7.212200000000001
137,7.163350909090909,7.2122
138,7.371525789473684,7.144999999999996
139,6.872770666666667,6.958899999999999
140,7.047747692307693,6.9589
141,7.385371666666667,7.084199999999999
142,7.173325833333333,7.084199999999999
143,7.349616666666666,7.170299999999999
144,7.3821724999999985,7.170299999999999
145,7.916938,7.171100000000001
146,6.6203875,7.1711
147,7.6113599999999995,7.300299999999999
148,7.179481666666667,7.300299999999999
149,7.298393333333332,6.871499999999999
150,7.539996666666667,6.871499999999999
151,6.126419999999999,6.8715
152,6.30517,6.7273000000000005
153,7.9663699999999995,6.7273
154,5.454233333333335,6.905100000000001
155,7.753224999999999,6.9051
156,7.546430000000001,6.925299999999998
157,7.178503333333333,6.925299999999998
158,5.420660000000001,6.673900000000001
159,7.28812,6.673900000000001
160,7.890450000000001,6.759600000000002
161,7.727005,6.9363
162,6.97913,6.9363
163,7.329559999999999,6.9327
164,8.589319999999999,6.9327
165,6.550656666666667,6.909699999999997
166,7.862986666666668,6.909699999999997
167,5.76103,6.88
168,6.8437125,6.88
169,7.865525,6.931099999999999
170,7.243515,6.931099999999999
171,7.523999999999999,6.623900000000001
172,6.2726,6.623900000000001
173,5.65765,6.4968
174,6.319963333333334,6.496800000000002
