Iteration,Mean,Std
1.0,303.84738365809125,200.10679118917187
2.0,204.4655191898346,131.40449055849896
3.0,139.77682185173035,87.33901095126478
4.0,136.39075056711832,85.59232343307882
5.0,145.09275968869528,85.25060532289174
6.0,141.3525311946869,84.3170974611749
7.0,154.94267781575522,101.1274737674623
8.0,158.13990966478983,100.90895168751321
9.0,148.49316016832987,94.69874560735238
10.0,154.4336929321289,98.73675238409209
11.0,194.4495474497477,126.61817443246021
12.0,157.13603035608926,100.60075335189953
13.0,168.980508963267,108.0757579958786
14.0,164.7073795000712,105.6239389471837
15.0,165.08035198847452,105.9143331065345
16.0,190.36915723482767,124.86036117174007
17.0,182.40052914619446,118.534548428066
18.0,180.18929425875345,116.58228514778601
19.0,151.9930108388265,96.89920215441734
20.0,174.50713634490967,112.9152022687562
21.0,164.3803823788961,106.60521167394275
22.0,173.51571281750998,111.50248327881818
23.0,162.80309311548868,104.37741978543318
25.0,145.8472663561503,91.55128066591021
