Iteration,Mean,Std
1.0,2038.4947079817455,254.93874057528242
2.0,1376.968936920166,123.61998797119806
3.0,1093.9427434603374,111.86531693098816
4.0,1010.1816697120667,93.56923976653741
5.0,1105.1389102141063,109.5949791715287
6.0,1245.0647411346436,110.86703793910097
7.0,1264.4798963864644,119.56079133097765
8.0,1346.407188653946,105.9944122399064
9.0,1300.4696117242177,121.53954026527455
10.0,1356.9169261455536,109.46330801547766
11.0,1338.846202770869,90.0884868956348
12.0,1442.5955635706584,115.52634108661947
13.0,1422.0602991580963,111.68847396180561
14.0,1391.6774758497875,110.7527578719725
15.0,1431.3061615626018,126.1048446960289
16.0,1493.4828323523204,149.00764725144882
17.0,1524.9733264446259,126.79229720124046
18.0,1479.9615591367085,122.82402444680972
19.0,1471.1084535916646,109.51025190438787
20.0,1477.4388050238292,125.85435228125027
21.0,1476.7214596271515,126.42229752988996
22.0,1528.6394356091816,148.71167863872665
23.0,1421.6508247057598,109.61047035546368
24.0,1474.8691206773121,139.59886017083335
25.0,1470.419702688853,124.87261971465962
