Number of features,Execution time,Predicted time
65,0.64267,0.9276
66,1.52057,0.9276
67,0.6423500000000001,0.8916999999999999
68,1.0568066666666667,0.8917
69,0.6503399999999999,0.8916999999999999
70,1.3235800000000002,0.8963
71,0.6449999999999999,0.8962999999999998
72,0.8569927272727272,0.8757999999999999
73,1.2032500000000002,0.8987999999999999
74,0.8404433333333333,0.8987999999999997
75,0.9722837500000001,0.9249000000000003
76,0.8882244444444444,0.9249000000000002
77,0.9090639999999999,0.9010000000000001
78,1.1416685714285713,0.9373999999999999
79,0.9339166666666667,0.9374
80,0.648665,0.7247
81,0.9515750000000002,0.7228
82,0.6280333333333333,0.7228
83,0.971546,0.8659000000000002
84,0.7758066666666666,0.8245000000000002
85,0.8027077777777778,0.8245000000000003
86,0.8589277777777777,0.8573999999999999
87,1.1557266666666666,0.9456999999999998
88,1.0754133333333333,0.9456999999999998
89,0.9622980000000001,0.9457000000000002
90,0.784515,0.8238
91,0.8456474999999999,0.8238
92,0.9391674999999999,0.8341
93,0.92107,0.8341
94,0.655338,0.8341
95,0.6568799999999999,0.6648999999999999
96,0.6561250000000001,0.6649
97,1.4587400000000001,0.9319
98,1.5690300000000001,0.9319000000000001
99,0.6582399999999999,0.9319000000000001
100,0.6603100000000001,0.9110999999999999
101,0.6576099999999999,0.9111
103,0.6584800000000001,0.8642999999999998
104,1.1877725,0.8642999999999998
105,0.8222966666666667,0.8389999999999997
106,0.8607324999999999,0.8390000000000001
107,0.66327,0.8390000000000001
108,0.8557500000000001,0.8419000000000001
109,0.66132,0.8419000000000001
110,0.8099060000000001,0.8419000000000001
111,1.21469,0.9219000000000003
112,0.9666366666666667,0.9219000000000003
113,0.66668,0.8727
114,0.6848614285714285,0.8727000000000001
115,1.1754,0.9219999999999999
116,0.66615,0.922
117,0.79612,0.8624999999999997
118,0.6648400000000001,0.8625
119,0.665955,0.8455999999999999
120,0.6689550000000001,0.7970000000000002
121,0.66706,0.7969999999999999
122,0.6704300000000001,0.9712
123,1.56577,1.1172
124,1.40957,1.1448
126,1.36475,1.0689999999999997
127,0.6681,1.077
128,0.67167,0.9129000000000002
129,0.66993,1.0993
130,1.48892,0.9192
131,0.8638,1.1079
132,0.9872799999999999,1.0774000000000001
133,0.6778285714285714,0.9935999999999999
134,1.6262025000000002,1.1052
135,0.6741950000000001,0.9971
136,0.67502,1.0913
137,1.1272039999999999,1.0913
138,0.6775466666666666,1.0241000000000002
139,1.00649,1.0069000000000001
140,1.2778559999999999,1.0069
141,0.7696116666666667,1.0615000000000003
142,1.4152299999999998,1.0615
143,1.1991999999999998,1.0452
144,1.0570966666666666,1.0451999999999995
145,1.0912266666666668,1.0067000000000002
146,0.6823066666666666,1.0066999999999997
147,0.9593074999999999,1.0472
148,0.67806,1.0472
149,1.101658,0.9410000000000001
150,0.68652,0.9409999999999998
151,1.0594249999999998,0.9409999999999998
152,0.836645,1.0187000000000002
153,2.0041033333333327,1.0186999999999997
154,1.0120466666666668,1.0063999999999997
155,1.0946233333333333,1.0063999999999997
156,0.8655971428571428,1.0099000000000002
157,1.1232520000000001,1.0099
158,0.6918733333333333,0.8464999999999999
159,0.9042028571428573,0.8464999999999998
160,1.0649099999999998,0.9320999999999998
161,0.7247475,1.0209
162,0.696395,1.0209000000000001
163,0.6995899999999999,1.0173
164,0.69297,1.0173
165,1.2739971428571426,0.9942999999999996
166,0.687675,0.9942999999999997
167,1.3800400000000004,0.9646000000000002
169,0.7088599999999999,0.9769
170,1.0385133333333334,0.9769000000000001
171,0.72068,0.9627000000000001
172,0.6928,0.9627000000000001
173,0.7704000000000001,0.9632000000000001
174,1.89469,0.9632
175,1.31366,0.9642
178,0.8594949999999999,0.9641999999999996
180,0.6955800000000001,0.9569000000000001
182,0.7042599999999999,0.9568999999999999
187,1.2873999999999999,0.9896999999999998
192,0.70658,0.6841000000000002
193,0.7009700000000001,0.8840999999999999
196,1.44711,1.3017
197,0.70057,1.3017
198,0.7014800000000001,1.3609000000000002
200,1.1349099999999999,0.9544
201,0.7050975,0.9544
202,1.18954,0.9743
203,1.0862450000000001,0.9743
204,0.7114600000000002,0.9470999999999999
205,0.9785100000000001,0.9470999999999999
206,0.70651,0.9470999999999999
207,1.03314,0.9094999999999999
208,0.9916171428571429,0.9094999999999999
209,0.8062124999999999,0.9094999999999996
210,1.0551657142857147,0.9749999999999996
211,1.1190642857142858,0.9749999999999996
212,0.98655,0.975
213,0.9611823076923078,0.9017999999999999
214,0.7708733333333334,0.9018
215,0.9202450000000001,0.9018
216,0.8048277777777778,0.9017999999999997
217,0.7151879999999999,0.9018
218,1.01479125,0.9017999999999999
219,0.71302,0.9018
220,1.0688771428571426,0.9696
221,0.9527337499999999,0.9696
222,0.9356984615384616,0.9695999999999999
223,1.1531949999999997,0.9530999999999998
224,0.8899349999999998,0.9530999999999998
225,0.7151266666666667,0.9530999999999997
226,1.3462866666666666,0.9530999999999997
227,1.67998,0.9471999999999998
228,1.058123333333333,0.9471999999999998
229,0.901128888888889,0.9472000000000003
230,0.9667874999999999,0.9347
231,0.9134433333333333,0.9346999999999999
232,0.7368750000000001,0.9347
233,1.2793200000000005,0.9869999999999997
234,0.9761033333333333,0.9870000000000001
235,1.20766,0.9869999999999998
236,0.721038,0.987
237,0.7222375,1.0137
238,1.0746733333333334,1.0137
239,0.71847,1.0137
240,1.6651300000000002,1.0137
241,1.15572,1.0137
243,1.1521450000000002,1.0137
244,1.068475,1.0137
245,0.9269833333333334,1.0137
246,0.7297049999999999,1.0137
247,1.078615,1.0902999999999998
248,0.73763,1.0902999999999998
249,1.5787699999999998,1.0902999999999998
250,0.7225999999999999,1.0902999999999998
251,1.1380133333333333,0.8497999999999997
252,0.75856,0.8497999999999999
253,0.9639300000000001,0.8497999999999997
254,0.72611,0.8497999999999999
255,0.7359725,0.8787
256,0.73425,0.8787
258,0.7285299999999999,0.8786999999999997
259,0.74106,0.9366
261,0.7424850000000001,0.9365999999999998
262,1.324605,0.9366
265,0.73571,0.9423
266,1.45982,0.9423
269,0.73298,0.9423
270,0.741118,0.9423000000000001
271,1.0858133333333333,0.9422999999999999
272,1.23984,0.9423
273,1.0225266666666666,0.9481
274,0.75427,0.9480999999999999
275,0.7489450000000001,0.9480999999999999
278,1.5421699999999998,0.9480999999999999
279,0.736645,0.9659000000000002
280,1.65209,0.9658999999999999
282,1.5408199999999999,0.9658999999999999
284,1.5242200000000001,0.9658999999999999
286,1.04024,0.9659000000000002
288,0.7598,0.9364999999999999
289,0.7388700000000001,0.9365
295,0.74284,0.9031
298,0.74285,0.9031
300,0.7434800000000001,0.9031
308,0.75204,0.8432999999999999
309,0.7502449999999999,0.8432999999999999
313,1.0910199999999999,1.1417
315,0.75344,1.1417
316,1.034996,0.8528999999999999
318,0.78751,0.8529
319,0.75531,0.8529
320,0.75577,0.8529
321,0.7825777777777778,0.8529000000000001
322,1.1925733333333333,0.8822000000000002
323,0.7604200000000001,0.8821999999999999
324,0.75662,0.8821999999999999
326,1.15863,0.8822000000000002
327,0.7581100000000001,0.8547
328,1.0032733333333332,0.8547000000000001
329,0.75763,0.8547
330,0.724295,0.8547
332,0.76067,0.7891000000000002
333,0.7638100000000001,0.7891000000000001
334,0.76326,0.7891
335,0.78393,0.7891000000000001
336,0.7404,0.7891000000000001
339,1.0887350000000002,0.8228000000000002
340,0.7652,0.8228
341,0.7708900000000001,0.8228000000000002
342,0.96028,0.8228000000000002
344,0.76705,0.8228
346,1.0116699999999998,0.8228000000000002
352,0.77257,0.8473
368,0.7772499999999999,0.8473
376,0.9098200000000002,0.5822
381,0.79741,0.5822
382,0.7928749999999999,0.5822
384,0.8314600000000001,0.9027999999999998
385,0.78362,0.9027999999999998
386,0.78113,0.9027999999999998
