Iteration,Worker,Time
1.0,labmovil4-All-Series,66.7621021270752
2.0,labmovil4-All-Series,28.952950477600098
3.0,labmovil4-All-Series,31.12037444114685
4.0,labmovil4-All-Series,45.68496513366699
5.0,labmovil4-All-Series,23.48155188560486
6.0,labmovil4-All-Series,18.03999948501587
7.0,labmovil4-All-Series,15.75772476196289
8.0,labmovil4-All-Series,18.404203176498413
9.0,labmovil4-All-Series,15.764582395553589
10.0,labmovil4-All-Series,17.746058225631714
11.0,labmovil4-All-Series,15.642128229141235
12.0,labmovil4-All-Series,17.46136736869812
13.0,labmovil4-All-Series,15.004212856292725
14.0,labmovil4-All-Series,16.417030096054077
15.0,labmovil4-All-Series,15.719480991363525
16.0,labmovil4-All-Series,16.388510704040527
17.0,labmovil4-All-Series,15.907496213912964
18.0,labmovil4-All-Series,15.521711111068726
19.0,labmovil4-All-Series,15.047526121139526
20.0,labmovil4-All-Series,15.072766780853271
21.0,labmovil4-All-Series,16.379603147506714
22.0,labmovil4-All-Series,15.90779972076416
23.0,labmovil4-All-Series,15.754655122756958
24.0,labmovil4-All-Series,17.918265104293823
25.0,labmovil4-All-Series,16.19101309776306
1.0,labmovil2-All-Series,78.31100273132324
2.0,labmovil2-All-Series,23.709324598312378
3.0,labmovil2-All-Series,30.851388216018677
4.0,labmovil2-All-Series,39.15996980667114
5.0,labmovil2-All-Series,22.039576530456543
6.0,labmovil2-All-Series,15.641890048980713
7.0,labmovil2-All-Series,17.258089303970337
8.0,labmovil2-All-Series,14.914869546890259
9.0,labmovil2-All-Series,16.31329846382141
10.0,labmovil2-All-Series,17.600269079208374
11.0,labmovil2-All-Series,17.13031506538391
12.0,labmovil2-All-Series,15.545982122421265
13.0,labmovil2-All-Series,18.80273962020874
14.0,labmovil2-All-Series,17.055298805236816
15.0,labmovil2-All-Series,16.12383770942688
16.0,labmovil2-All-Series,18.47227644920349
17.0,labmovil2-All-Series,18.140244245529175
18.0,labmovil2-All-Series,16.88548731803894
19.0,labmovil2-All-Series,16.526240587234497
20.0,labmovil2-All-Series,16.101172924041748
21.0,labmovil2-All-Series,19.370839834213257
22.0,labmovil2-All-Series,17.47608494758606
23.0,labmovil2-All-Series,16.721007108688354
24.0,labmovil2-All-Series,15.077089786529541
25.0,labmovil2-All-Series,15.977128744125366
1.0,labmovil3-All-Series,105.90266561508179
2.0,labmovil3-All-Series,24.612189531326294
3.0,labmovil3-All-Series,23.714746475219727
4.0,labmovil3-All-Series,40.12630605697632
5.0,labmovil3-All-Series,26.608272790908813
6.0,labmovil3-All-Series,15.990843772888184
7.0,labmovil3-All-Series,14.664503574371338
8.0,labmovil3-All-Series,17.737290143966675
9.0,labmovil3-All-Series,16.22965145111084
10.0,labmovil3-All-Series,15.555355787277222
11.0,labmovil3-All-Series,17.90157961845398
12.0,labmovil3-All-Series,14.267716646194458
13.0,labmovil3-All-Series,16.829091548919678
14.0,labmovil3-All-Series,15.250914096832275
15.0,labmovil3-All-Series,15.504470109939575
16.0,labmovil3-All-Series,16.631601333618164
17.0,labmovil3-All-Series,16.435471534729004
18.0,labmovil3-All-Series,17.56215524673462
19.0,labmovil3-All-Series,17.932276248931885
20.0,labmovil3-All-Series,17.31160044670105
21.0,labmovil3-All-Series,15.768861532211304
22.0,labmovil3-All-Series,16.98418664932251
23.0,labmovil3-All-Series,16.275747537612915
24.0,labmovil3-All-Series,18.61959671974182
25.0,labmovil3-All-Series,16.227210760116577
