Iteration,Mean,Std
1.0,152.33247391382852,16.420382577815545
2.0,150.63396954536438,2.2889343236512194
3.0,130.19850262006125,3.429404459078776
4.0,115.88148220380147,2.8753368980742864
5.0,132.9051308631897,1.9069656544361095
6.0,126.66504271825154,1.057866653074073
7.0,122.20989831288655,1.0631668239897398
8.0,118.41562414169312,1.5124035395678515
9.0,115.68795959154765,0.2413792250905002
10.0,115.58547639846802,1.0001167720790223
11.0,114.46357107162476,0.9377674226620282
12.0,115.3781213760376,1.3124221969200713
13.0,114.92023952802022,1.5511384538923938
14.0,115.97386240959167,0.7470696564791592
15.0,116.0297458966573,0.2567641065838745
16.0,116.40675854682922,0.930308050297682
17.0,115.24961256980896,0.9527837406233395
18.0,114.03691935539246,0.848605215056952
19.0,114.83209093411763,1.1778188907185543
20.0,114.5012268225352,0.9150063853020878
21.0,113.43668786684673,1.5739105552958657
22.0,115.0677359898885,0.6549038358987159
23.0,115.67022705078125,0.3949162430423628
24.0,114.6486812432607,1.5316475730749313
25.0,114.25117945671082,0.11035186259974758
