23/09/15 15:11:03 WARN NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
INFO:root:Metaheuristic results will be saved in "/home/big_data/data/paper-binary-black-hole-algorithm/Results/BBHA_1694790673_5066526/result_2023-09-15_15_11_13.csv"
INFO:root:Metrics will be saved in JSON files (one per iteration) inside folder "Results/BBHA_1694790673_5066526"
INFO:root:Running 10 independent runs of the BBHA experiment with 25 iterations and 60 stars
INFO:root:Metric: log-likelihood | Model: clustering | Parameters: 2_clusters_kmeans_algorithm_log-likelihood_score_method | Random state: 13
INFO:root:Survival dataset: "Breast_Invasive_Carcinoma"
INFO:root:	Samples (rows): 1082 | Features (columns): 19727
INFO:root:	Y shape: 1082
INFO:root:Fitness function with 19727 features: 5.047074794769287 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with all the features finished in 5.0907957553863525 seconds
INFO:root:log-likelihood with all the features: -0.7886867366168692
INFO:root:Running normal algorithm 
INFO:root:Independent run 1/10
INFO:root:Initializing stars...
INFO:root:Fitness function with 7237 features: 2.0403897762298584 seconds | Log Likelihood (higher is better): -0.7880961358682774
INFO:root:Fitness function with 5878 features: 1.9327549934387207 seconds | Log Likelihood (higher is better): -0.7885957221650733
INFO:root:Fitness function with 3516 features: 1.594304084777832 seconds | Log Likelihood (higher is better): -0.7881154934345335
INFO:root:Fitness function with 6609 features: 2.252302408218384 seconds | Log Likelihood (higher is better): -0.7886260589924664
INFO:root:Fitness function with 8771 features: 2.879262924194336 seconds | Log Likelihood (higher is better): -0.7878376653455588
INFO:root:Fitness function with 14941 features: 3.4933764934539795 seconds | Log Likelihood (higher is better): -0.7884935864046396
INFO:root:Fitness function with 11924 features: 2.9452016353607178 seconds | Log Likelihood (higher is better): -0.7886869152330056
INFO:root:Fitness function with 17742 features: 4.201242208480835 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 1837 features: 1.2359273433685303 seconds | Log Likelihood (higher is better): -0.7884445304796541
INFO:root:Fitness function with 17341 features: 3.5387258529663086 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 11400 features: 2.4474918842315674 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Black hole starting as star at index 8
INFO:root:Iteration 1/25
INFO:root:Fitness function with 641 features: 0.9777002334594727 seconds | Log Likelihood (higher is better): -0.7885829498089073
INFO:root:Fitness function with 7868 features: 2.348592758178711 seconds | Log Likelihood (higher is better): -0.7880961358682774
INFO:root:Fitness function with 17033 features: 3.7827656269073486 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 6027 features: 1.7917909622192383 seconds | Log Likelihood (higher is better): -0.7886855839255723
INFO:root:Fitness function with 15984 features: 3.8090932369232178 seconds | Log Likelihood (higher is better): -0.7886855839255723
INFO:root:Fitness function with 8374 features: 2.0255935192108154 seconds | Log Likelihood (higher is better): -0.7886855839255723
INFO:root:Fitness function with 14814 features: 3.214465856552124 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 19514 features: 4.662046909332275 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 9145 features: 2.192209243774414 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Fitness function with 8044 features: 1.8718433380126953 seconds | Log Likelihood (higher is better): -0.7886855839255723
INFO:root:Fitness function with 11202 features: 2.2136003971099854 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Fitness function with 15017 features: 3.4492027759552 seconds | Log Likelihood (higher is better): -0.7886855839255723
INFO:root:Fitness function with 6904 features: 1.7970092296600342 seconds | Log Likelihood (higher is better): -0.7886834205813995
INFO:root:Fitness function with 6294 features: 2.0445749759674072 seconds | Log Likelihood (higher is better): -0.7885412011096502
INFO:root:Fitness function with 16116 features: 3.3796517848968506 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 11931 features: 2.6729929447174072 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 4761 features: 1.5384271144866943 seconds | Log Likelihood (higher is better): -0.788068633333623
INFO:root:Fitness function with 18048 features: 4.07506537437439 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 3590 features: 1.4740960597991943 seconds | Log Likelihood (higher is better): -0.7880961358682774
INFO:root:Fitness function with 18864 features: 4.336948871612549 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 82 features: 0.9086518287658691 seconds | Log Likelihood (higher is better): -0.7882619256505156
INFO:root:Fitness function with 7886 features: 1.837386131286621 seconds | Log Likelihood (higher is better): -0.7886855839255723
INFO:root:Fitness function with 18592 features: 4.2426722049713135 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 8181 features: 2.04390025138855 seconds | Log Likelihood (higher is better): -0.7886855839255723
INFO:root:Fitness function with 8310 features: 2.1082639694213867 seconds | Log Likelihood (higher is better): -0.7886855839255723
INFO:root:Fitness function with 19481 features: 4.564734697341919 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 12007 features: 2.843456983566284 seconds | Log Likelihood (higher is better): -0.7880937725964244
INFO:root:Fitness function with 821 features: 0.9969813823699951 seconds | Log Likelihood (higher is better): -0.7884958007309321
INFO:root:Fitness function with 6716 features: 2.30934739112854 seconds | Log Likelihood (higher is better): -0.788068633333623
INFO:root:Fitness function with 15508 features: 3.2463934421539307 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 19550 features: 4.9729814529418945 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 15800 features: 3.6917049884796143 seconds | Log Likelihood (higher is better): -0.7886867366168692
