Iteration,Mean,Std
1.0,259.10726801554364,73.32536557644028
2.0,156.99035636583963,96.84323993593762
3.0,122.28428498903911,73.86054383527075
4.0,100.15015467007954,58.60463029233925
5.0,120.49784779548645,50.59339282291865
6.0,75.99635553359985,41.372441787788894
7.0,66.31738917032878,33.334342826243365
8.0,65.65266799926758,31.462856462613317
10.0,43.25360528628031,17.95345768968704
11.0,45.28583518664042,19.054082940729945
12.0,38.92958585421244,16.343495055396257
13.0,38.052180449167885,15.856036316361976
15.0,32.779562870661415,8.194894860784123
16.0,29.80925218264262,9.63746931113598
17.0,69.24026974042256,7.971884451758965
18.0,25.955140988032024,5.894240756729082
19.0,25.64472723007202,6.802285880694911
20.0,34.18990969657898,9.273589693607367
21.0,24.538898706436157,6.158155091229312
22.0,41.46449613571167,24.091767684026628
23.0,32.38769539197286,4.850387812681073
24.0,25.37538464864095,6.051002825645038
25.0,55.824941555658974,9.677518469981525
