Number of features,Number of samples,Execution time,Fitness,Train score,Test time,Number of iterations,Time by iteration,Max iterations,Optimizer,Kernel
101,100,1.5519,0.5116,0.0,0.0025,35,0.0093,1000,avltree,1
91,100,1.7411,0.5731,0.0,0.0025,35,0.0105,1000,avltree,1
8,100,1.1486,0.5982,0.0,0.002,9,0.0023,1000,avltree,1
10,100,1.1593,0.6539,0.0,0.0019,9,0.0022,1000,avltree,1
76,100,1.435,0.6264,0.0,0.0025,30,0.01,1000,avltree,1
120,100,1.4397,0.5828,0.0,0.0026,27,0.0064,1000,avltree,1
18,100,1.1864,0.4945,0.0,0.0021,13,0.0032,1000,avltree,1
9,100,1.2347,0.4808,0.0,0.0025,9,0.0039,1000,avltree,1
42,100,1.3994,0.4916,0.0,0.0024,24,0.0075,1000,avltree,1
118,100,1.3235,0.5396,0.0,0.0026,19,0.0054,1000,avltree,1
109,100,1.3824,0.586,0.0,0.0026,23,0.0053,1000,avltree,1
95,100,1.4884,0.5769,0.0,0.0025,32,0.0095,1000,avltree,1
80,100,1.7644,0.5107,0.0,0.0025,36,0.0123,1000,avltree,1
21,100,1.1887,0.3864,0.0,0.0024,12,0.0033,1000,avltree,1
7,100,1.1678,0.4784,0.0,0.0019,7,0.0026,1000,avltree,1
52,100,1.54,0.5137,0.0,0.0024,27,0.0106,1000,avltree,1
118,100,1.3735,0.5379,0.0,0.0027,26,0.0076,1000,avltree,1
110,100,1.3556,0.5237,0.0,0.0027,25,0.0062,1000,avltree,1
79,100,1.8535,0.616,0.0,0.0026,36,0.0145,1000,avltree,1
41,100,2.4867,0.4245,0.0,0.0033,18,0.016,1000,avltree,1
5,100,2.0321,0.5314,0.0,0.0028,5,0.0044,1000,avltree,1
55,100,2.9527,0.6333,0.0,0.0033,29,0.0224,1000,avltree,1
31,100,2.375,0.6463,0.0,0.0032,15,0.0111,1000,avltree,1
99,100,2.4742,0.5857,0.0,0.0065,24,0.0128,1000,avltree,1
31,100,2.1804,0.4873,0.0,0.0031,18,0.0124,1000,avltree,1
2,100,1.844,0.536,0.0,0.0027,3,0.0051,1000,avltree,1
88,100,2.6382,0.5883,0.0,0.0035,30,0.0172,1000,avltree,1
105,100,2.7753,0.5569,0.0,0.0064,26,0.0176,1000,avltree,1
115,100,2.4309,0.5754,0.0,0.0038,25,0.0115,1000,avltree,1
130,100,2.2744,0.5415,0.0,0.0039,25,0.0135,1000,avltree,1
20,100,2.0335,0.6149,0.0,0.0026,13,0.0054,1000,avltree,1
79,100,3.0387,0.5863,0.0,0.0033,29,0.0241,1000,avltree,1
120,100,2.3681,0.5767,0.0,0.0038,20,0.01,1000,avltree,1
96,100,2.5632,0.5896,0.0,0.0038,32,0.0151,1000,avltree,1
39,100,2.541,0.6639,0.0,0.0058,23,0.0157,1000,avltree,1
75,100,3.064,0.4764,0.0,0.0034,25,0.02,1000,avltree,1
11,100,1.991,0.4268,0.0,0.0068,11,0.0052,1000,avltree,1
40,100,2.2834,0.669,0.0,0.0032,24,0.017,1000,avltree,1
86,100,2.0534,0.5587,0.0,0.0036,25,0.0146,1000,avltree,1
47,100,2.5971,0.6369,0.0,0.0077,23,0.0217,1000,avltree,1
19,100,2.2135,0.6488,0.0,0.0029,14,0.006,1000,avltree,1
36,100,2.3554,0.8326,0.0,0.0032,20,0.0138,1000,avltree,1
25,100,2.0242,0.543,0.0,0.003,17,0.0121,1000,avltree,1
34,100,2.131,0.5091,0.0,0.0053,21,0.0144,1000,avltree,1
36,100,2.1979,0.6381,0.0,0.0033,17,0.0186,1000,avltree,1
48,100,2.7277,0.6057,0.0,0.0033,20,0.019,1000,avltree,1
25,100,2.0305,0.7305,0.0,0.0031,14,0.011,1000,avltree,1
31,100,2.1021,0.4544,0.0,0.0031,15,0.0095,1000,avltree,1
38,100,2.34,0.5931,0.0,0.0031,22,0.0154,1000,avltree,1
50,100,2.7383,0.5375,0.0,0.0034,27,0.0264,1000,avltree,1
59,100,2.9482,0.7001,0.0,0.0033,28,0.0272,1000,avltree,1
21,100,2.1602,0.5781,0.0,0.0031,15,0.0073,1000,avltree,1
25,100,2.2861,0.723,0.0,0.003,14,0.0091,1000,avltree,1
46,100,2.6311,0.7469,0.0,0.0055,25,0.0208,1000,avltree,1
36,100,2.2192,0.5187,0.0,0.0057,21,0.0107,1000,avltree,1
31,100,2.2999,0.8144,0.0,0.0029,18,0.0107,1000,avltree,1
19,100,2.0972,0.4586,0.0,0.0057,15,0.0065,1000,avltree,1
43,100,2.3182,0.4832,0.0,0.0029,17,0.0169,1000,avltree,1
56,100,2.633,0.544,0.0,0.0033,27,0.02,1000,avltree,1
25,100,2.1145,0.6414,0.0,0.003,13,0.008,1000,avltree,1
52,100,2.8579,0.4219,0.0,0.0032,28,0.0337,1000,avltree,1
54,100,2.4783,0.5347,0.0,0.0044,21,0.013,1000,avltree,1
22,100,2.2041,0.6201,0.0,0.003,14,0.0083,1000,avltree,1
22,100,2.2234,0.6822,0.0,0.0031,16,0.0098,1000,avltree,1
49,100,2.6179,0.7297,0.0,0.0033,26,0.0178,1000,avltree,1
71,100,3.1874,0.6546,0.0,0.0061,29,0.0383,1000,avltree,1
22,100,2.1431,0.5729,0.0,0.0049,13,0.0093,1000,avltree,1
18,100,1.9399,0.6148,0.0,0.0029,11,0.0071,1000,avltree,1
28,100,2.2906,0.4887,0.0,0.0059,17,0.0142,1000,avltree,1
54,100,3.053,0.73,0.0,0.0055,27,0.041,1000,avltree,1
57,100,3.0237,0.5096,0.0,0.0061,29,0.0323,1000,avltree,1
55,100,2.9064,0.6048,0.0,0.0059,28,0.0364,1000,avltree,1
39,100,2.3146,0.5161,0.0,0.0028,19,0.0123,1000,avltree,1
23,100,2.2361,0.5784,0.0,0.0029,13,0.01,1000,avltree,1
19,100,2.211,0.4524,0.0,0.003,13,0.0064,1000,avltree,1
33,100,2.3526,0.5881,0.0,0.0028,21,0.0109,1000,avltree,1
61,100,3.2953,0.5375,0.0,0.0031,28,0.0244,1000,avltree,1
57,100,2.4033,0.523,0.0,0.0023,34,0.014,1000,avltree,1
40,100,1.3528,0.7185,0.0,0.0023,23,0.0077,1000,avltree,1
31,100,1.2384,0.5762,0.0,0.0024,18,0.0051,1000,avltree,1
18,100,1.1771,0.7508,0.0,0.0021,13,0.0034,1000,avltree,1
37,100,1.3193,0.7265,0.0,0.0022,22,0.0063,1000,avltree,1
26,100,1.2963,0.6907,0.0,0.0023,15,0.0062,1000,avltree,1
46,100,1.4116,0.6541,0.0,0.0024,26,0.0075,1000,avltree,1
31,100,1.2548,0.55,0.0,0.0022,17,0.0057,1000,avltree,1
15,100,1.1892,0.5451,0.0,0.0022,11,0.0038,1000,avltree,1
46,100,1.482,0.6405,0.0,0.0025,27,0.0097,1000,avltree,1
59,100,1.5476,0.795,0.0,0.0024,29,0.0144,1000,avltree,1
63,100,1.4917,0.5992,0.0,0.0024,25,0.0108,1000,avltree,1
70,100,1.674,0.5896,0.0,0.0028,25,0.0139,1000,avltree,1
21,100,1.1949,0.5472,0.0,0.0022,14,0.0033,1000,avltree,1
55,100,1.287,0.7206,0.0,0.0023,18,0.0069,1000,avltree,1
62,100,1.9409,0.5895,0.0,0.0025,27,0.0105,1000,avltree,1
53,100,1.6441,0.7257,0.0,0.0024,34,0.0115,1000,avltree,1
29,100,1.2478,0.8007,0.0,0.0022,19,0.0051,1000,avltree,1
47,100,1.4072,0.3701,0.0,0.0023,22,0.0091,1000,avltree,1
20,100,1.2531,0.5127,0.0,0.0023,14,0.0038,1000,avltree,1
28,100,1.2322,0.7312,0.0,0.0023,15,0.0049,1000,avltree,1
43,100,1.4344,0.5476,0.0,0.0024,23,0.0082,1000,avltree,1
32,100,1.3729,0.5619,0.0,0.0022,17,0.007,1000,avltree,1
24,100,1.2394,0.4481,0.0,0.0023,15,0.004,1000,avltree,1
36,100,1.3152,0.8326,0.0,0.0023,21,0.0059,1000,avltree,1
27,100,1.2121,0.5561,0.0,0.0022,15,0.0045,1000,avltree,1
32,100,1.2836,0.5882,0.0,0.0022,17,0.0057,1000,avltree,1
28,100,1.2118,0.7408,0.0,0.0022,17,0.0048,1000,avltree,1
33,100,1.2877,0.6613,0.0,0.0023,20,0.0058,1000,avltree,1
21,100,1.1842,0.8306,0.0,0.0022,13,0.0037,1000,avltree,1
21,100,1.1972,0.7593,0.0,0.0022,12,0.0033,1000,avltree,1
30,100,1.2451,0.3558,0.0,0.0024,17,0.0057,1000,avltree,1
38,100,1.3289,0.549,0.0,0.0023,19,0.0067,1000,avltree,1
37,100,1.3029,0.5656,0.0,0.0027,19,0.0069,1000,avltree,1
27,100,1.2842,0.7968,0.0,0.0022,18,0.0048,1000,avltree,1
29,100,1.2534,0.8356,0.0,0.0026,16,0.0051,1000,avltree,1
36,100,1.3528,0.626,0.0,0.0023,20,0.0074,1000,avltree,1
29,100,1.2563,0.6067,0.0,0.0022,19,0.0048,1000,avltree,1
21,100,1.1969,0.6198,0.0,0.0023,17,0.0036,1000,avltree,1
27,100,1.2165,0.6643,0.0,0.0022,15,0.0057,1000,avltree,1
33,100,1.3377,0.4859,0.0,0.0022,17,0.0081,1000,avltree,1
38,100,1.2679,0.6747,0.0,0.0025,20,0.0067,1000,avltree,1
24,100,2.2217,0.8069,0.0,0.003,14,0.0075,1000,avltree,1
33,100,2.2189,0.4963,0.0,0.0031,20,0.0125,1000,avltree,1
37,100,2.4423,0.5793,0.0,0.0044,16,0.0134,1000,avltree,1
27,100,2.2101,0.6569,0.0,0.0031,18,0.008,1000,avltree,1
21,100,2.0102,0.61,0.0,0.0028,13,0.006,1000,avltree,1
36,100,2.2842,0.676,0.0,0.003,20,0.0106,1000,avltree,1
40,100,2.484,0.5854,0.0,0.0068,25,0.0148,1000,avltree,1
25,100,2.0378,0.6127,0.0,0.0092,14,0.0105,1000,avltree,1
30,100,2.1111,0.6498,0.0,0.0034,18,0.01,1000,avltree,1
28,100,2.139,0.4997,0.0,0.0026,16,0.0098,1000,avltree,1
33,100,2.3646,0.6971,0.0,0.0029,19,0.0124,1000,avltree,1
39,100,2.3589,0.5925,0.0,0.0032,23,0.0139,1000,avltree,1
34,100,2.2049,0.6961,0.0,0.0028,21,0.0093,1000,avltree,1
26,100,2.2554,0.5545,0.0,0.003,15,0.0083,1000,avltree,1
27,100,2.2268,0.6681,0.0,0.0058,16,0.0081,1000,avltree,1
22,100,2.2644,0.5404,0.0,0.003,13,0.0107,1000,avltree,1
28,100,2.2702,0.5935,0.0,0.003,16,0.0107,1000,avltree,1
42,100,2.4485,0.6061,0.0,0.0047,22,0.0183,1000,avltree,1
41,100,2.5538,0.6292,0.0,0.0059,24,0.0212,1000,avltree,1
26,100,1.7967,0.679,0.0,0.0021,15,0.0048,1000,avltree,1
23,100,2.103,0.6929,0.0,0.0028,14,0.0073,1000,avltree,1
25,100,2.2625,0.6033,0.0,0.003,17,0.0088,1000,avltree,1
30,100,2.1743,0.6351,0.0,0.0042,16,0.0111,1000,avltree,1
27,100,2.1445,0.7907,0.0,0.003,16,0.0083,1000,avltree,1
26,100,2.2313,0.7511,0.0,0.003,15,0.0084,1000,avltree,1
27,100,2.0872,0.4177,0.0,0.0059,14,0.0124,1000,avltree,1
15,100,2.0419,0.7758,0.0,0.0029,11,0.008,1000,avltree,1
29,100,2.0687,0.558,0.0,0.0033,16,0.0117,1000,avltree,1
37,100,2.3729,0.8035,0.0,0.006,20,0.0169,1000,avltree,1
45,100,2.3653,0.5522,0.0,0.0033,19,0.018,1000,avltree,1
34,100,2.2814,0.4699,0.0,0.0032,19,0.0172,1000,avltree,1
27,100,2.2083,0.7232,0.0,0.0028,14,0.0097,1000,avltree,1
42,100,2.5741,0.7926,0.0,0.0069,24,0.0169,1000,avltree,1
37,100,2.374,0.4565,0.0,0.0031,20,0.0182,1000,avltree,1
41,100,2.4115,0.6975,0.0,0.0032,20,0.0226,1000,avltree,1
27,100,2.122,0.7097,0.0,0.0047,15,0.0105,1000,avltree,1
35,100,2.3528,0.7423,0.0,0.0029,23,0.0136,1000,avltree,1
28,100,2.2178,0.6642,0.0,0.003,18,0.014,1000,avltree,1
27,100,2.0488,0.3779,0.0,0.0046,15,0.0092,1000,avltree,1
30,100,2.0929,0.5277,0.0,0.0031,16,0.0115,1000,avltree,1
21,100,2.2426,0.7309,0.0,0.0028,15,0.0056,1000,avltree,1
23,100,2.112,0.5597,0.0,0.003,13,0.0068,1000,avltree,1
27,100,2.2019,0.79,0.0,0.003,16,0.0078,1000,avltree,1
21,100,2.1617,0.6697,0.0,0.0029,12,0.0076,1000,avltree,1
27,100,2.1307,0.544,0.0,0.0034,13,0.0086,1000,avltree,1
22,100,2.1916,0.7016,0.0,0.0029,16,0.0086,1000,avltree,1
23,100,2.1165,0.6105,0.0,0.0044,14,0.0074,1000,avltree,1
23,100,2.1779,0.8249,0.0,0.0027,13,0.006,1000,avltree,1
23,100,2.1433,0.7044,0.0,0.0027,12,0.0081,1000,avltree,1
25,100,2.1907,0.3828,0.0,0.0025,15,0.0058,1000,avltree,1
26,100,2.1506,0.7336,0.0,0.0057,14,0.0101,1000,avltree,1
24,100,2.2552,0.5785,0.0,0.003,15,0.0096,1000,avltree,1
17,100,2.1806,0.7134,0.0,0.0025,11,0.0042,1000,avltree,1
29,100,2.2397,0.8356,0.0,0.0029,14,0.0109,1000,avltree,1
25,100,2.2618,0.6524,0.0,0.003,14,0.0076,1000,avltree,1
28,100,2.1715,0.7452,0.0,0.003,17,0.0098,1000,avltree,1
22,100,2.1618,0.7037,0.0,0.0026,14,0.0069,1000,avltree,1
28,100,2.2476,0.8018,0.0,0.0029,17,0.0104,1000,avltree,1
22,100,2.2344,0.5838,0.0,0.003,14,0.0063,1000,avltree,1
26,100,2.1878,0.7251,0.0,0.0022,15,0.0051,1000,avltree,1
25,100,1.2714,0.8144,0.0,0.0022,15,0.0047,1000,avltree,1
24,100,1.1874,0.5215,0.0,0.0022,13,0.0036,1000,avltree,1
30,100,1.2236,0.563,0.0,0.0022,15,0.0047,1000,avltree,1
18,100,1.1542,0.6904,0.0,0.0021,12,0.0032,1000,avltree,1
23,100,1.183,0.7065,0.0,0.0024,13,0.0041,1000,avltree,1
33,100,1.242,0.7559,0.0,0.0022,15,0.0047,1000,avltree,1
27,100,1.2535,0.683,0.0,0.0023,17,0.0049,1000,avltree,1
20,100,1.1888,0.6411,0.0,0.0023,13,0.003,1000,avltree,1
27,100,1.204,0.6972,0.0,0.0023,16,0.0039,1000,avltree,1
18,100,1.2297,0.5951,0.0,0.0027,12,0.0047,1000,avltree,1
24,100,1.2154,0.5897,0.0,0.0023,15,0.0046,1000,avltree,1
25,100,1.1752,0.5255,0.0,0.0022,13,0.0037,1000,avltree,1
29,100,1.249,0.7362,0.0,0.0026,16,0.0053,1000,avltree,1
29,100,1.2553,0.7895,0.0,0.0025,18,0.0046,1000,avltree,1
26,100,1.2279,0.7686,0.0,0.0022,16,0.0041,1000,avltree,1
23,100,1.1919,0.7277,0.0,0.0022,13,0.0039,1000,avltree,1
20,100,1.1796,0.7172,0.0,0.0021,13,0.0032,1000,avltree,1
23,100,1.212,0.5295,0.0,0.0023,15,0.0047,1000,avltree,1
28,100,1.2133,0.7297,0.0,0.0022,12,0.0038,1000,avltree,1
26,100,1.216,0.6871,0.0,0.0022,16,0.0041,1000,avltree,1
21,100,2.1276,0.6528,0.0,0.0031,13,0.0094,1000,avltree,1
21,100,2.1427,0.7377,0.0,0.0027,13,0.0071,1000,avltree,1
23,100,2.1712,0.6045,0.0,0.0028,13,0.0056,1000,avltree,1
30,100,2.2921,0.8346,0.0,0.003,21,0.0124,1000,avltree,1
28,100,2.2159,0.7733,0.0,0.003,14,0.008,1000,avltree,1
