Number of features,Number of samples,Execution time,Fitness,Train score,Test time,Number of iterations,Time by iteration,Max iterations,Optimizer,Kernel
9658,149,1.8797,0.6171,0.0,0.0624,7,0.0215,1000,avltree,1
6486,149,1.6483,0.618,0.0,0.0457,7,0.0181,1000,avltree,1
5564,149,1.702,0.6149,0.0,0.0421,6,0.0172,1000,avltree,1
10397,149,1.8785,0.6126,0.0,0.0732,6,0.0231,1000,avltree,1
2331,149,1.6896,0.6192,0.0,0.0175,11,0.0135,1000,avltree,1
14266,149,2.0043,0.6082,0.0,0.0993,6,0.03,1000,avltree,1
6059,149,1.7428,0.6338,0.0,0.0427,8,0.0174,1000,avltree,1
512,149,1.6503,0.5751,0.0,0.0059,14,0.0134,1000,avltree,1
2140,149,1.6581,0.6221,0.0,0.0164,9,0.0134,1000,avltree,1
6270,149,1.732,0.6088,0.0,0.0438,7,0.0174,1000,avltree,1
1138,149,1.6567,0.6458,0.0,0.0106,10,0.0125,1000,avltree,1
2848,149,1.6889,0.6177,0.0,0.0223,9,0.0141,1000,avltree,1
2967,149,1.6341,0.6423,0.0,0.0215,7,0.0153,1000,avltree,1
1589,149,1.6477,0.6404,0.0,0.0135,9,0.0127,1000,avltree,1
6033,149,1.7284,0.6229,0.0,0.0439,8,0.0175,1000,avltree,1
3656,149,1.6729,0.617,0.0,0.0283,7,0.015,1000,avltree,1
5635,149,1.6849,0.6144,0.0,0.0399,6,0.0175,1000,avltree,1
555,149,1.6963,0.6504,0.0,0.0064,14,0.0145,1000,avltree,1
3833,149,1.6819,0.6098,0.0,0.0274,7,0.0151,1000,avltree,1
2075,149,1.606,0.6084,0.0,0.0157,8,0.0129,1000,avltree,1
3054,149,1.659,0.6173,0.0,0.0224,9,0.0128,1000,avltree,1
4712,149,1.7284,0.6324,0.0,0.0339,8,0.0152,1000,avltree,1
6337,149,1.774,0.6142,0.0,0.0444,8,0.0176,1000,avltree,1
4951,149,1.7126,0.6084,0.0,0.0364,8,0.0166,1000,avltree,1
3118,149,1.6357,0.6239,0.0,0.022,8,0.0133,1000,avltree,1
3821,149,1.6977,0.6018,0.0,0.0256,9,0.0148,1000,avltree,1
5063,149,1.7033,0.6143,0.0,0.0353,7,0.0162,1000,avltree,1
1442,149,1.6427,0.5835,0.0,0.0115,10,0.0127,1000,avltree,1
5769,149,1.7524,0.5997,0.0,0.0369,8,0.0167,1000,avltree,1
4093,149,1.6647,0.6192,0.0,0.027,7,0.0149,1000,avltree,1
4047,149,1.6948,0.6165,0.0,0.0287,8,0.0153,1000,avltree,1
5827,149,1.6671,0.6185,0.0,0.04,7,0.0172,1000,avltree,1
2733,149,1.6518,0.6196,0.0,0.0202,8,0.0141,1000,avltree,1
3773,149,1.6727,0.6104,0.0,0.0268,8,0.0145,1000,avltree,1
2881,149,1.6527,0.6363,0.0,0.0208,8,0.0137,1000,avltree,1
1333,149,1.5973,0.62,0.0,0.0126,8,0.0117,1000,avltree,1
3761,149,1.707,0.625,0.0,0.0281,8,0.0149,1000,avltree,1
1430,149,1.7265,0.6052,0.0,0.011,10,0.0137,1000,avltree,1
4878,149,1.7449,0.6024,0.0,0.0336,7,0.0164,1000,avltree,1
610,149,1.6712,0.636,0.0,0.0073,12,0.0143,1000,avltree,1
2063,149,1.5607,0.6556,0.0,0.0162,8,0.0127,1000,avltree,1
667,149,1.6078,0.6324,0.0,0.007,13,0.0119,1000,avltree,1
4745,149,1.6667,0.6109,0.0,0.0303,7,0.0169,1000,avltree,1
4329,149,1.718,0.6273,0.0,0.0314,9,0.0155,1000,avltree,1
2961,149,1.6239,0.6287,0.0,0.0208,8,0.0154,1000,avltree,1
1308,149,1.711,0.5905,0.0,0.011,12,0.0126,1000,avltree,1
3176,149,1.6655,0.6179,0.0,0.0246,9,0.0151,1000,avltree,1
596,149,1.6038,0.5816,0.0,0.0066,14,0.0118,1000,avltree,1
6174,149,1.7177,0.617,0.0,0.0441,7,0.0172,1000,avltree,1
3291,149,1.5903,0.6007,0.0,0.0229,7,0.0139,1000,avltree,1
575,149,1.5707,0.5971,0.0,0.0068,12,0.0131,1000,avltree,1
3242,149,1.6581,0.6001,0.0,0.0242,9,0.0144,1000,avltree,1
2523,149,1.6276,0.636,0.0,0.0186,9,0.0135,1000,avltree,1
5542,149,1.7044,0.5787,0.0,0.0404,8,0.0178,1000,avltree,1
4041,149,1.697,0.624,0.0,0.0297,9,0.0154,1000,avltree,1
3366,149,1.6529,0.6278,0.0,0.0243,9,0.0137,1000,avltree,1
3249,149,1.6785,0.6126,0.0,0.0232,10,0.0141,1000,avltree,1
5609,149,1.7169,0.6324,0.0,0.0379,7,0.0172,1000,avltree,1
678,149,1.715,0.656,0.0,0.0069,14,0.0151,1000,avltree,1
3481,149,1.6974,0.6095,0.0,0.0259,10,0.0143,1000,avltree,1
852,149,1.4548,0.6725,0.0,0.008,8,0.0114,1000,avltree,1
6423,149,1.6874,0.6091,0.0,0.0428,8,0.0171,1000,avltree,1
4665,149,1.6864,0.6342,0.0,0.0294,8,0.0157,1000,avltree,1
4360,149,1.6818,0.6165,0.0,0.0313,8,0.015,1000,avltree,1
710,149,1.5644,0.6625,0.0,0.008,10,0.0145,1000,avltree,1
552,149,1.5554,0.6065,0.0,0.0063,12,0.013,1000,avltree,1
3006,149,1.6123,0.606,0.0,0.0215,7,0.0133,1000,avltree,1
1250,149,1.6827,0.6173,0.0,0.0105,12,0.0135,1000,avltree,1
5660,149,1.727,0.5999,0.0,0.0364,8,0.0169,1000,avltree,1
5791,149,1.7189,0.6043,0.0,0.0391,8,0.0165,1000,avltree,1
718,149,1.5578,0.6402,0.0,0.0069,10,0.0122,1000,avltree,1
4059,149,1.6371,0.6312,0.0,0.0283,7,0.0143,1000,avltree,1
5697,149,1.7193,0.6194,0.0,0.039,7,0.0179,1000,avltree,1
5553,149,1.7202,0.6074,0.0,0.0353,9,0.016,1000,avltree,1
6255,149,1.7306,0.6072,0.0,0.0445,7,0.0173,1000,avltree,1
1557,149,1.6422,0.6078,0.0,0.013,11,0.0126,1000,avltree,1
538,149,1.5862,0.61,0.0,0.0062,12,0.0138,1000,avltree,1
4678,149,1.6669,0.5937,0.0,0.035,7,0.0167,1000,avltree,1
3685,149,1.6301,0.5954,0.0,0.0267,8,0.0145,1000,avltree,1
722,149,1.5138,0.6407,0.0,0.0073,11,0.0118,1000,avltree,1
4737,149,1.6641,0.619,0.0,0.0343,8,0.0167,1000,avltree,1
2091,149,1.6585,0.6639,0.0,0.0163,10,0.0128,1000,avltree,1
2563,149,1.616,0.6392,0.0,0.0184,8,0.0127,1000,avltree,1
2344,149,1.661,0.6211,0.0,0.0182,9,0.0134,1000,avltree,1
4564,149,1.7259,0.636,0.0,0.0308,8,0.0157,1000,avltree,1
1962,149,1.662,0.6209,0.0,0.014,11,0.0132,1000,avltree,1
6076,149,1.6981,0.5697,0.0,0.0425,7,0.0181,1000,avltree,1
3058,149,1.6629,0.6302,0.0,0.0224,9,0.0143,1000,avltree,1
4915,149,1.707,0.6293,0.0,0.0333,8,0.0162,1000,avltree,1
2908,149,1.6122,0.6371,0.0,0.0209,8,0.0131,1000,avltree,1
4393,149,1.6762,0.5871,0.0,0.0297,7,0.0158,1000,avltree,1
3066,149,1.586,0.6121,0.0,0.0221,10,0.0145,1000,avltree,1
2651,149,1.6611,0.6146,0.0,0.0204,9,0.013,1000,avltree,1
4703,149,1.6642,0.6182,0.0,0.035,8,0.0161,1000,avltree,1
1273,149,1.6534,0.6356,0.0,0.0109,11,0.0126,1000,avltree,1
6396,149,1.7475,0.6134,0.0,0.0403,8,0.0173,1000,avltree,1
2898,149,1.6267,0.625,0.0,0.0196,9,0.0133,1000,avltree,1
510,149,1.5648,0.5866,0.0,0.0064,11,0.0149,1000,avltree,1
1232,149,1.6119,0.6301,0.0,0.0104,10,0.0116,1000,avltree,1
3027,149,1.6337,0.6209,0.0,0.0219,8,0.0137,1000,avltree,1
861,149,1.5885,0.7019,0.0,0.0083,12,0.0116,1000,avltree,1
1508,149,1.6538,0.5999,0.0,0.0119,10,0.0132,1000,avltree,1
1575,149,1.6776,0.6578,0.0,0.016,10,0.0123,1000,avltree,1
1024,149,1.6746,0.6377,0.0,0.009,11,0.0123,1000,avltree,1
2965,149,1.6648,0.6329,0.0,0.0221,9,0.0136,1000,avltree,1
1909,149,1.639,0.6348,0.0,0.0157,9,0.0127,1000,avltree,1
2794,149,1.6756,0.6138,0.0,0.0227,9,0.0136,1000,avltree,1
582,149,1.7891,0.7004,0.0,0.0074,14,0.0153,1000,avltree,1
2070,149,1.6804,0.6333,0.0,0.0159,9,0.0136,1000,avltree,1
1258,149,1.602,0.6645,0.0,0.0109,9,0.0118,1000,avltree,1
1634,149,1.6782,0.6019,0.0,0.0132,11,0.013,1000,avltree,1
2433,149,1.6248,0.6483,0.0,0.0181,8,0.0134,1000,avltree,1
3086,149,1.7071,0.5864,0.0,0.0224,10,0.013,1000,avltree,1
2428,149,1.6526,0.6374,0.0,0.0186,9,0.0134,1000,avltree,1
1729,149,1.6271,0.6298,0.0,0.0161,10,0.0136,1000,avltree,1
2003,149,1.663,0.6643,0.0,0.0162,10,0.0135,1000,avltree,1
2517,149,1.6841,0.6208,0.0,0.0182,9,0.0131,1000,avltree,1
964,149,1.7193,0.645,0.0,0.0084,12,0.013,1000,avltree,1
2895,149,1.6163,0.6514,0.0,0.0219,8,0.0137,1000,avltree,1
2088,149,1.658,0.6771,0.0,0.016,9,0.0126,1000,avltree,1
2102,149,1.6306,0.6319,0.0,0.0165,8,0.0125,1000,avltree,1
2832,149,1.5969,0.6224,0.0,0.021,9,0.0133,1000,avltree,1
1500,149,1.6131,0.6474,0.0,0.0125,8,0.0119,1000,avltree,1
2009,149,1.6249,0.6088,0.0,0.016,8,0.0129,1000,avltree,1
1588,149,1.6567,0.6633,0.0,0.0125,10,0.0128,1000,avltree,1
923,149,1.6004,0.6539,0.0,0.0085,9,0.0109,1000,avltree,1
1962,149,1.6488,0.6487,0.0,0.0149,9,0.0125,1000,avltree,1
959,149,1.6742,0.5841,0.0,0.0079,11,0.0122,1000,avltree,1
2489,149,1.6785,0.6254,0.0,0.0181,9,0.0141,1000,avltree,1
596,149,1.6625,0.6441,0.0,0.0061,13,0.0146,1000,avltree,1
1246,149,1.5693,0.6344,0.0,0.0116,8,0.0121,1000,avltree,1
648,149,1.5936,0.6472,0.0,0.008,11,0.0131,1000,avltree,1
2302,149,1.6758,0.627,0.0,0.0166,10,0.0137,1000,avltree,1
2160,149,1.607,0.6456,0.0,0.0174,9,0.0136,1000,avltree,1
1640,149,1.6506,0.6477,0.0,0.0135,10,0.0138,1000,avltree,1
906,149,1.561,0.6756,0.0,0.0088,9,0.0125,1000,avltree,1
1703,149,1.6334,0.6158,0.0,0.0139,9,0.0126,1000,avltree,1
569,149,1.5518,0.6002,0.0,0.0064,11,0.0132,1000,avltree,1
3049,149,1.6342,0.595,0.0,0.0224,9,0.0139,1000,avltree,1
1718,149,1.613,0.6087,0.0,0.0137,9,0.0128,1000,avltree,1
602,149,1.7454,0.6053,0.0,0.0063,14,0.0137,1000,avltree,1
1772,149,1.6503,0.6171,0.0,0.0139,10,0.0133,1000,avltree,1
1431,149,1.6895,0.6239,0.0,0.0125,12,0.013,1000,avltree,1
2751,149,1.6551,0.606,0.0,0.0202,10,0.0141,1000,avltree,1
2064,149,1.6338,0.6336,0.0,0.0156,9,0.0127,1000,avltree,1
1806,149,1.6581,0.6885,0.0,0.0128,11,0.0128,1000,avltree,1
1823,149,1.6101,0.5965,0.0,0.0144,9,0.0122,1000,avltree,1
2806,149,1.6604,0.6598,0.0,0.0228,10,0.0138,1000,avltree,1
632,149,1.57,0.6588,0.0,0.0068,12,0.0129,1000,avltree,1
1850,149,1.6504,0.6312,0.0,0.0149,9,0.0123,1000,avltree,1
852,149,1.4423,0.6756,0.0,0.0084,8,0.0113,1000,avltree,1
3138,149,1.5635,0.6059,0.0,0.021,8,0.0144,1000,avltree,1
2342,149,1.651,0.6285,0.0,0.0178,9,0.0136,1000,avltree,1
2271,149,1.6415,0.6464,0.0,0.019,9,0.0136,1000,avltree,1
658,149,1.5947,0.6625,0.0,0.008,13,0.0134,1000,avltree,1
617,149,1.5408,0.6702,0.0,0.0068,11,0.0132,1000,avltree,1
1687,149,1.6368,0.6206,0.0,0.0133,10,0.0124,1000,avltree,1
880,149,1.7658,0.6487,0.0,0.0078,13,0.0126,1000,avltree,1
2816,149,1.5931,0.6594,0.0,0.022,7,0.0139,1000,avltree,1
2849,149,1.6788,0.6084,0.0,0.0215,10,0.0135,1000,avltree,1
649,149,1.5206,0.6857,0.0,0.0063,11,0.0114,1000,avltree,1
2096,149,1.5797,0.6518,0.0,0.0169,8,0.0121,1000,avltree,1
2761,149,1.6713,0.64,0.0,0.0185,8,0.0136,1000,avltree,1
2731,149,1.6008,0.598,0.0,0.0191,8,0.0136,1000,avltree,1
3002,149,1.6417,0.6367,0.0,0.0214,8,0.0141,1000,avltree,1
1014,149,1.6476,0.6103,0.0,0.0095,11,0.0128,1000,avltree,1
571,149,1.6338,0.6508,0.0,0.0065,12,0.0126,1000,avltree,1
2410,149,1.673,0.6009,0.0,0.0179,9,0.0139,1000,avltree,1
1978,149,1.6483,0.636,0.0,0.0153,10,0.0138,1000,avltree,1
649,149,1.5717,0.6533,0.0,0.0069,13,0.0129,1000,avltree,1
2384,149,1.6634,0.6189,0.0,0.0184,10,0.0137,1000,avltree,1
1267,149,1.7239,0.6552,0.0,0.0108,13,0.0136,1000,avltree,1
1446,149,1.6139,0.6129,0.0,0.0118,9,0.0124,1000,avltree,1
1356,149,1.7007,0.629,0.0,0.0104,11,0.0133,1000,avltree,1
2402,149,1.6452,0.6504,0.0,0.0177,9,0.0134,1000,avltree,1
1200,149,1.6435,0.6427,0.0,0.0098,11,0.0127,1000,avltree,1
2977,149,1.6739,0.6304,0.0,0.0219,9,0.0134,1000,avltree,1
1625,149,1.6368,0.6434,0.0,0.013,11,0.0128,1000,avltree,1
2416,149,1.6806,0.6457,0.0,0.0185,10,0.0133,1000,avltree,1
1593,149,1.6081,0.6647,0.0,0.0128,9,0.0118,1000,avltree,1
2237,149,1.6303,0.6092,0.0,0.0181,9,0.0127,1000,avltree,1
1695,149,1.5171,0.6441,0.0,0.0137,10,0.013,1000,avltree,1
1463,149,1.6623,0.6522,0.0,0.0119,11,0.0126,1000,avltree,1
2355,149,1.6225,0.642,0.0,0.0192,9,0.013,1000,avltree,1
910,149,1.6736,0.6155,0.0,0.0083,11,0.0126,1000,avltree,1
3051,149,1.6447,0.6192,0.0,0.022,8,0.0134,1000,avltree,1
1608,149,1.6635,0.6442,0.0,0.0128,11,0.0128,1000,avltree,1
564,149,1.6314,0.6695,0.0,0.0064,14,0.014,1000,avltree,1
880,149,1.65,0.6486,0.0,0.0084,11,0.0129,1000,avltree,1
1665,149,1.64,0.6551,0.0,0.0131,10,0.0129,1000,avltree,1
861,149,1.508,0.7032,0.0,0.0086,11,0.0114,1000,avltree,1
999,149,1.6525,0.641,0.0,0.0083,12,0.0133,1000,avltree,1
985,149,1.6614,0.6982,0.0,0.008,12,0.012,1000,avltree,1
750,149,1.5946,0.6483,0.0,0.0076,13,0.0131,1000,avltree,1
1636,149,1.6097,0.6315,0.0,0.013,10,0.0122,1000,avltree,1
1126,149,1.651,0.6562,0.0,0.0092,11,0.0123,1000,avltree,1
1545,149,1.6457,0.6115,0.0,0.0119,10,0.0126,1000,avltree,1
599,149,1.5135,0.6741,0.0,0.0065,11,0.0117,1000,avltree,1
1252,149,1.6321,0.6757,0.0,0.0105,11,0.0119,1000,avltree,1
907,149,1.5658,0.6582,0.0,0.0083,9,0.011,1000,avltree,1
1086,149,1.6363,0.6545,0.0,0.0092,11,0.0119,1000,avltree,1
1421,149,1.583,0.6521,0.0,0.0118,9,0.0123,1000,avltree,1
1672,149,1.6109,0.6012,0.0,0.0133,9,0.0139,1000,avltree,1
1410,149,1.6094,0.6529,0.0,0.0123,9,0.013,1000,avltree,1
1103,149,1.6485,0.66,0.0,0.0104,10,0.0124,1000,avltree,1
1181,149,1.6396,0.6804,0.0,0.01,11,0.0124,1000,avltree,1
1468,149,1.5841,0.643,0.0,0.0138,9,0.0122,1000,avltree,1
788,149,1.5815,0.6628,0.0,0.0078,13,0.013,1000,avltree,1
1598,149,1.6121,0.6331,0.0,0.013,10,0.0134,1000,avltree,1
1244,149,1.6325,0.7004,0.0,0.0109,11,0.0129,1000,avltree,1
1217,149,1.5744,0.6187,0.0,0.0103,9,0.0109,1000,avltree,1
1548,149,1.4905,0.6654,0.0,0.0128,9,0.0121,1000,avltree,1
1021,149,1.5942,0.6615,0.0,0.0092,9,0.0116,1000,avltree,1
1247,149,1.6114,0.603,0.0,0.0113,10,0.0126,1000,avltree,1
1002,149,1.6037,0.6865,0.0,0.0089,10,0.0111,1000,avltree,1
737,149,1.5766,0.6655,0.0,0.0073,12,0.0135,1000,avltree,1
1224,149,1.6151,0.6589,0.0,0.0098,9,0.0123,1000,avltree,1
762,149,1.5787,0.6535,0.0,0.0074,12,0.0133,1000,avltree,1
1444,149,1.6134,0.6083,0.0,0.012,9,0.0121,1000,avltree,1
608,149,1.4975,0.6604,0.0,0.0065,10,0.0123,1000,avltree,1
859,149,1.4824,0.6697,0.0,0.0084,10,0.0126,1000,avltree,1
598,149,1.6286,0.6852,0.0,0.0067,14,0.013,1000,avltree,1
1371,149,1.6178,0.6694,0.0,0.0116,9,0.0125,1000,avltree,1
1230,149,1.6786,0.6405,0.0,0.0106,11,0.0132,1000,avltree,1
1075,149,1.6107,0.6642,0.0,0.0092,9,0.0114,1000,avltree,1
758,149,1.5839,0.6316,0.0,0.0071,12,0.0125,1000,avltree,1
1081,149,1.6258,0.6423,0.0,0.0088,10,0.0123,1000,avltree,1
591,149,1.6379,0.6829,0.0,0.0066,13,0.0135,1000,avltree,1
1638,149,1.629,0.622,0.0,0.0138,9,0.0131,1000,avltree,1
1073,149,1.6181,0.6489,0.0,0.0097,10,0.0123,1000,avltree,1
615,149,1.5116,0.6003,0.0,0.0065,11,0.0127,1000,avltree,1
1103,149,1.6632,0.65,0.0,0.0098,10,0.013,1000,avltree,1
921,149,1.6135,0.6834,0.0,0.0087,10,0.0124,1000,avltree,1
1491,149,1.6423,0.6154,0.0,0.0125,10,0.0134,1000,avltree,1
1241,149,1.6251,0.6746,0.0,0.0109,11,0.0128,1000,avltree,1
1120,149,1.61,0.7274,0.0,0.0093,9,0.0122,1000,avltree,1
1094,149,1.636,0.6451,0.0,0.0098,10,0.0122,1000,avltree,1
1588,149,1.6257,0.6798,0.0,0.0129,10,0.0129,1000,avltree,1
616,149,1.5189,0.6571,0.0,0.0067,10,0.0131,1000,avltree,1
1126,149,1.6092,0.6752,0.0,0.0094,10,0.0119,1000,avltree,1
681,149,1.5333,0.6914,0.0,0.007,11,0.0124,1000,avltree,1
1689,149,1.5266,0.6355,0.0,0.0134,9,0.0126,1000,avltree,1
1366,149,1.6169,0.6565,0.0,0.0114,9,0.0122,1000,avltree,1
1344,149,1.6554,0.6765,0.0,0.0114,10,0.0121,1000,avltree,1
627,149,1.6029,0.6331,0.0,0.0062,12,0.0134,1000,avltree,1
606,149,1.638,0.6861,0.0,0.0062,13,0.0132,1000,avltree,1
1058,149,1.6234,0.6551,0.0,0.0087,10,0.0122,1000,avltree,1
702,149,1.6079,0.6399,0.0,0.0086,13,0.0132,1000,avltree,1
1563,149,1.6213,0.6473,0.0,0.0116,10,0.0119,1000,avltree,1
1604,149,1.6137,0.6133,0.0,0.0126,8,0.0115,1000,avltree,1
639,149,1.5195,0.6842,0.0,0.0071,10,0.0124,1000,avltree,1
1273,149,1.5704,0.6978,0.0,0.0105,8,0.011,1000,avltree,1
1550,149,1.6036,0.6617,0.0,0.013,9,0.0126,1000,avltree,1
1522,149,1.6472,0.5873,0.0,0.0126,10,0.012,1000,avltree,1
1653,149,1.6913,0.6356,0.0,0.0141,11,0.013,1000,avltree,1
801,149,1.4734,0.663,0.0,0.0078,8,0.0112,1000,avltree,1
616,149,1.6838,0.6381,0.0,0.0067,14,0.0135,1000,avltree,1
1386,149,1.7094,0.6516,0.0,0.0119,12,0.013,1000,avltree,1
1198,149,1.6766,0.6504,0.0,0.0098,11,0.0126,1000,avltree,1
648,149,1.5939,0.6724,0.0,0.007,12,0.0133,1000,avltree,1
1315,149,1.6248,0.6404,0.0,0.012,9,0.0126,1000,avltree,1
874,149,1.5829,0.6644,0.0,0.008,11,0.013,1000,avltree,1
964,149,1.6568,0.6595,0.0,0.009,11,0.0116,1000,avltree,1
953,149,1.6785,0.6378,0.0,0.0084,10,0.0124,1000,avltree,1
1361,149,1.6845,0.6729,0.0,0.0116,11,0.013,1000,avltree,1
889,149,1.764,0.6986,0.0,0.0085,13,0.0124,1000,avltree,1
1655,149,1.6476,0.6202,0.0,0.0135,10,0.0124,1000,avltree,1
1052,149,1.6427,0.6644,0.0,0.0095,11,0.0112,1000,avltree,1
1359,149,1.6701,0.6739,0.0,0.0112,10,0.0132,1000,avltree,1
1040,149,1.7223,0.6656,0.0,0.009,11,0.0128,1000,avltree,1
1342,149,1.5781,0.6021,0.0,0.0114,8,0.0128,1000,avltree,1
1096,149,1.5159,0.6426,0.0,0.0099,10,0.0119,1000,avltree,1
988,149,1.6536,0.6679,0.0,0.0091,11,0.0118,1000,avltree,1
1404,149,1.6293,0.6878,0.0,0.0125,10,0.0122,1000,avltree,1
733,149,1.5257,0.6556,0.0,0.0074,9,0.0119,1000,avltree,1
1646,149,1.6706,0.6193,0.0,0.0128,10,0.0124,1000,avltree,1
1042,149,1.6763,0.6593,0.0,0.0087,11,0.0114,1000,avltree,1
610,149,1.5848,0.6502,0.0,0.0067,12,0.0126,1000,avltree,1
696,149,1.5367,0.6475,0.0,0.0073,10,0.0114,1000,avltree,1
1046,149,1.6982,0.6592,0.0,0.0096,11,0.0131,1000,avltree,1
823,149,1.5379,0.673,0.0,0.0082,10,0.0138,1000,avltree,1
898,149,1.6964,0.6318,0.0,0.0085,12,0.013,1000,avltree,1
893,149,1.6385,0.6714,0.0,0.0086,10,0.0115,1000,avltree,1
786,149,1.5361,0.6587,0.0,0.0079,10,0.0133,1000,avltree,1
1193,149,1.6452,0.6545,0.0,0.0102,10,0.0121,1000,avltree,1
972,149,1.6862,0.6492,0.0,0.0086,12,0.0127,1000,avltree,1
1091,149,1.7065,0.6643,0.0,0.0098,11,0.0136,1000,avltree,1
735,149,1.5695,0.6854,0.0,0.0072,11,0.0119,1000,avltree,1
1011,149,1.5914,0.6828,0.0,0.009,8,0.0116,1000,avltree,1
874,149,1.6446,0.6775,0.0,0.008,11,0.0138,1000,avltree,1
909,149,1.6268,0.7008,0.0,0.0085,11,0.0128,1000,avltree,1
1029,149,1.6052,0.7048,0.0,0.0099,10,0.012,1000,avltree,1
1153,149,1.6526,0.6267,0.0,0.0099,10,0.0124,1000,avltree,1
1047,149,1.5867,0.6628,0.0,0.0092,8,0.0118,1000,avltree,1
929,149,1.6815,0.688,0.0,0.0084,11,0.0122,1000,avltree,1
967,149,1.6891,0.6899,0.0,0.0088,12,0.0125,1000,avltree,1
1112,149,1.718,0.6621,0.0,0.0096,13,0.013,1000,avltree,1
790,149,1.5152,0.73,0.0,0.0077,10,0.0113,1000,avltree,1
1195,149,1.6349,0.7022,0.0,0.0101,10,0.0116,1000,avltree,1
993,149,1.6956,0.7036,0.0,0.0092,12,0.0129,1000,avltree,1
990,149,1.6764,0.625,0.0,0.0095,11,0.0121,1000,avltree,1
1095,149,1.4804,0.6858,0.0,0.0098,9,0.0113,1000,avltree,1
907,149,1.6492,0.6778,0.0,0.0086,11,0.0114,1000,avltree,1
1035,149,1.6036,0.6372,0.0,0.0094,8,0.012,1000,avltree,1
911,149,1.6968,0.7151,0.0,0.0089,11,0.0132,1000,avltree,1
756,149,1.5806,0.7156,0.0,0.0075,10,0.0123,1000,avltree,1
976,149,1.6839,0.7345,0.0,0.0089,10,0.0112,1000,avltree,1
773,149,1.5674,0.6216,0.0,0.0071,11,0.0125,1000,avltree,1
1070,149,1.688,0.6796,0.0,0.0101,12,0.0138,1000,avltree,1
722,149,1.6034,0.651,0.0,0.0076,11,0.0132,1000,avltree,1
862,149,1.5076,0.6864,0.0,0.0083,10,0.0111,1000,avltree,1
713,149,1.5477,0.6761,0.0,0.0072,11,0.0139,1000,avltree,1
1062,149,1.6692,0.6548,0.0,0.0093,11,0.0124,1000,avltree,1
958,149,1.6386,0.6964,0.0,0.0087,11,0.0113,1000,avltree,1
903,149,1.7047,0.7013,0.0,0.0084,12,0.0141,1000,avltree,1
780,149,1.612,0.7023,0.0,0.0072,13,0.0126,1000,avltree,1
915,149,1.6072,0.6722,0.0,0.0086,9,0.0116,1000,avltree,1
686,149,1.5188,0.6741,0.0,0.0072,10,0.0121,1000,avltree,1
1139,149,1.5887,0.6679,0.0,0.0097,9,0.0121,1000,avltree,1
914,149,1.587,0.6875,0.0,0.0085,10,0.0119,1000,avltree,1
736,149,1.5291,0.6855,0.0,0.0075,11,0.0124,1000,avltree,1
954,149,1.652,0.6332,0.0,0.0087,10,0.0122,1000,avltree,1
842,149,1.6004,0.6684,0.0,0.008,11,0.0115,1000,avltree,1
1122,149,1.6998,0.6333,0.0,0.0097,11,0.0129,1000,avltree,1
990,149,1.6635,0.6839,0.0,0.0088,10,0.0125,1000,avltree,1
1120,149,1.6352,0.7296,0.0,0.0098,10,0.0116,1000,avltree,1
900,149,1.6483,0.6561,0.0,0.0085,11,0.0116,1000,avltree,1
1177,149,1.6433,0.6521,0.0,0.0096,11,0.0124,1000,avltree,1
749,149,1.6221,0.69,0.0,0.0082,13,0.0139,1000,avltree,1
938,149,1.6503,0.6687,0.0,0.0085,11,0.0123,1000,avltree,1
760,149,1.556,0.696,0.0,0.0071,12,0.0129,1000,avltree,1
1210,149,1.5063,0.6066,0.0,0.0102,10,0.0123,1000,avltree,1
1026,149,1.6128,0.6556,0.0,0.0091,10,0.0115,1000,avltree,1
1025,149,1.5719,0.6749,0.0,0.0101,9,0.0124,1000,avltree,1
707,149,1.5481,0.6635,0.0,0.0071,11,0.0125,1000,avltree,1
732,149,1.6291,0.7199,0.0,0.0074,12,0.0124,1000,avltree,1
924,149,1.6433,0.6712,0.0,0.009,10,0.0128,1000,avltree,1
769,149,1.584,0.6755,0.0,0.0073,12,0.0123,1000,avltree,1
1130,149,1.6962,0.6929,0.0,0.01,11,0.0129,1000,avltree,1
1112,149,1.5998,0.668,0.0,0.0098,10,0.0121,1000,avltree,1
744,149,1.4828,0.7113,0.0,0.0076,11,0.0116,1000,avltree,1
988,149,1.5895,0.7112,0.0,0.0088,9,0.0118,1000,avltree,1
1107,149,1.6867,0.6788,0.0,0.0092,11,0.0128,1000,avltree,1
1093,149,1.6615,0.6771,0.0,0.0102,11,0.0124,1000,avltree,1
1180,149,1.6129,0.6689,0.0,0.0103,10,0.0121,1000,avltree,1
810,149,1.5418,0.683,0.0,0.008,11,0.0124,1000,avltree,1
717,149,1.4948,0.6455,0.0,0.0076,9,0.0124,1000,avltree,1
1015,149,1.6208,0.6704,0.0,0.0091,10,0.0111,1000,avltree,1
977,149,1.6393,0.6565,0.0,0.009,10,0.0134,1000,avltree,1
734,149,1.599,0.6892,0.0,0.0075,13,0.0134,1000,avltree,1
1059,149,1.6497,0.6775,0.0,0.0092,11,0.012,1000,avltree,1
843,149,1.4368,0.6562,0.0,0.0082,8,0.0115,1000,avltree,1
886,149,1.6431,0.6901,0.0,0.0083,10,0.0125,1000,avltree,1
830,149,1.4839,0.6978,0.0,0.0079,10,0.0109,1000,avltree,1
1060,149,1.5562,0.683,0.0,0.0106,8,0.0124,1000,avltree,1
