Number of features,Number of samples,Execution time,Fitness,Train score,Number of clusters,Algorithm,Scoring method
184,403,0.0721,0.573,0.0,2,1,1
1550,582,0.2132,0.5063,0.0,2,1,1
5081,403,0.3468,0.5692,0.0,2,1,1
3336,510,0.2835,0.6168,0.0,2,1,1
856,510,0.1257,0.7331,0.0,2,1,1
565,510,0.1015,0.7131,0.0,2,1,1
2485,403,0.2109,0.5563,0.0,2,1,1
958,582,0.1695,0.4928,0.0,2,1,1
493,510,0.1057,0.7318,0.0,2,1,1
122,403,0.0812,0.5945,0.0,2,1,1
4429,510,0.3743,0.6111,0.0,2,1,1
144,403,0.0763,0.5725,0.0,2,1,1
962,582,0.168,0.5504,0.0,2,1,1
1076,510,0.1457,0.5985,0.0,2,1,1
6003,403,0.4418,0.5572,0.0,2,1,1
8616,582,0.9414,0.5063,0.0,2,1,1
555,403,0.1019,0.5716,0.0,2,1,1
568,403,0.1119,0.5741,0.0,2,1,1
7416,510,0.7311,0.6089,0.0,2,1,1
105,403,0.0842,0.5749,0.0,2,1,1
148,403,0.0727,0.5815,0.0,2,1,1
111,403,0.0705,0.576,0.0,2,1,1
5821,510,0.4891,0.6046,0.0,2,1,1
834,510,0.1274,0.6092,0.0,2,1,1
6004,510,0.5275,0.6101,0.0,2,1,1
576,510,0.1062,0.7382,0.0,2,1,1
747,510,0.1336,0.7225,0.0,2,1,1
101,403,0.073,0.5882,0.0,2,1,1
320,403,0.0889,0.5657,0.0,2,1,1
1158,582,0.1869,0.5063,0.0,2,1,1
565,510,0.1083,0.7433,0.0,2,1,1
283,403,0.0823,0.5773,0.0,2,1,1
1330,510,0.1592,0.6173,0.0,2,1,1
240,403,0.0795,0.5855,0.0,2,1,1
161,403,0.0733,0.5759,0.0,2,1,1
155,403,0.0805,0.5742,0.0,2,1,1
2636,510,0.2697,0.6121,0.0,2,1,1
451,510,0.1056,0.7382,0.0,2,1,1
106,403,0.0719,0.5833,0.0,2,1,1
115,403,0.0766,0.5845,0.0,2,1,1
970,582,0.1584,0.5063,0.0,2,1,1
1433,403,0.1282,0.5614,0.0,2,1,1
934,582,0.1596,0.5457,0.0,2,1,1
1959,403,0.1795,0.5556,0.0,2,1,1
1317,582,0.1941,0.5063,0.0,2,1,1
3563,582,0.356,0.5063,0.0,2,1,1
941,582,0.1539,0.5063,0.0,2,1,1
950,582,0.1664,0.5466,0.0,2,1,1
970,582,0.1502,0.5063,0.0,2,1,1
1673,582,0.2611,0.4999,0.0,2,1,1
4454,582,0.4811,0.5063,0.0,2,1,1
105,403,0.0662,0.5888,0.0,2,1,1
461,510,0.1208,0.7455,0.0,2,1,1
1240,510,0.1536,0.6973,0.0,2,1,1
908,510,0.1377,0.7287,0.0,2,1,1
948,582,0.1526,0.5063,0.0,2,1,1
3885,582,0.5017,0.5063,0.0,2,1,1
940,582,0.1495,0.5253,0.0,2,1,1
1012,582,0.1778,0.5472,0.0,2,1,1
3849,403,0.2642,0.5552,0.0,2,1,1
1064,582,0.1466,0.5063,0.0,2,1,1
850,510,0.1302,0.6881,0.0,2,1,1
1009,582,0.1778,0.544,0.0,2,1,1
3871,582,0.4248,0.5063,0.0,2,1,1
593,510,0.107,0.7208,0.0,2,1,1
1626,582,0.1794,0.5063,0.0,2,1,1
1212,403,0.1464,0.5617,0.0,2,1,1
6299,582,0.6145,0.5063,0.0,2,1,1
851,510,0.121,0.6149,0.0,2,1,1
5211,403,0.4062,0.567,0.0,2,1,1
20,582,0.0692,0.5094,0.0,2,1,1
1946,582,0.2633,0.5063,0.0,2,1,1
181,403,0.0748,0.5727,0.0,2,1,1
1018,510,0.1536,0.7227,0.0,2,1,1
973,582,0.1378,0.5063,0.0,2,1,1
935,582,0.1758,0.5562,0.0,2,1,1
904,582,0.1417,0.5271,0.0,2,1,1
1031,582,0.1706,0.5063,0.0,2,1,1
1436,510,0.1767,0.6117,0.0,2,1,1
3751,510,0.3423,0.6077,0.0,2,1,1
858,510,0.1431,0.7177,0.0,2,1,1
1290,510,0.1576,0.7158,0.0,2,1,1
2327,510,0.2344,0.6103,0.0,2,1,1
2113,403,0.2275,0.5015,0.0,2,1,1
930,582,0.1843,0.5535,0.0,2,1,1
556,510,0.1051,0.7238,0.0,2,1,1
949,582,0.1642,0.5293,0.0,2,1,1
1181,582,0.1631,0.5063,0.0,2,1,1
126,403,0.0795,0.5809,0.0,2,1,1
116,403,0.0797,0.5945,0.0,2,1,1
2923,582,0.3137,0.5063,0.0,2,1,1
1543,403,0.1606,0.5683,0.0,2,1,1
669,403,0.0878,0.5002,0.0,2,1,1
689,510,0.1104,0.6258,0.0,2,1,1
1159,582,0.1725,0.5063,0.0,2,1,1
1565,582,0.196,0.5063,0.0,2,1,1
3974,582,0.4066,0.5063,0.0,2,1,1
8449,510,0.7834,0.6077,0.0,2,1,1
890,582,0.1386,0.5594,0.0,2,1,1
562,510,0.114,0.7459,0.0,2,1,1
3957,403,0.2636,0.5674,0.0,2,1,1
962,582,0.1663,0.565,0.0,2,1,1
3015,582,0.3156,0.5063,0.0,2,1,1
864,510,0.1155,0.7304,0.0,2,1,1
2223,582,0.3261,0.5063,0.0,2,1,1
1042,582,0.1805,0.5008,0.0,2,1,1
143,403,0.0792,0.5787,0.0,2,1,1
1355,582,0.2047,0.5063,0.0,2,1,1
1186,582,0.1835,0.5156,0.0,2,1,1
989,582,0.1531,0.5063,0.0,2,1,1
1334,510,0.1638,0.7147,0.0,2,1,1
1058,582,0.159,0.557,0.0,2,1,1
558,510,0.1064,0.623,0.0,2,1,1
8581,403,0.5979,0.5624,0.0,2,1,1
954,510,0.1331,0.719,0.0,2,1,1
187,403,0.0765,0.5868,0.0,2,1,1
111,403,0.071,0.5868,0.0,2,1,1
977,582,0.1571,0.5353,0.0,2,1,1
4437,582,0.3985,0.5063,0.0,2,1,1
1273,403,0.1423,0.5432,0.0,2,1,1
1662,510,0.2115,0.7244,0.0,2,1,1
214,403,0.0777,0.5809,0.0,2,1,1
102,403,0.0671,0.5965,0.0,2,1,1
964,582,0.144,0.5063,0.0,2,1,1
482,510,0.0998,0.7344,0.0,2,1,1
1362,510,0.1553,0.6134,0.0,2,1,1
886,510,0.1295,0.7338,0.0,2,1,1
1181,582,0.1666,0.5444,0.0,2,1,1
452,510,0.1105,0.7404,0.0,2,1,1
109,403,0.0778,0.5952,0.0,2,1,1
2650,403,0.2037,0.5002,0.0,2,1,1
6202,582,0.5044,0.5063,0.0,2,1,1
109,403,0.0831,0.576,0.0,2,1,1
424,582,0.1093,0.5302,0.0,2,1,1
120,403,0.0745,0.5788,0.0,2,1,1
3854,403,0.2801,0.5569,0.0,2,1,1
1141,582,0.1788,0.5362,0.0,2,1,1
1447,582,0.2066,0.5693,0.0,2,1,1
1023,582,0.1407,0.5063,0.0,2,1,1
486,403,0.0983,0.5696,0.0,2,1,1
124,403,0.0733,0.5859,0.0,2,1,1
850,510,0.1383,0.6148,0.0,2,1,1
1154,582,0.1676,0.5063,0.0,2,1,1
168,403,0.082,0.5699,0.0,2,1,1
1463,510,0.181,0.7171,0.0,2,1,1
956,582,0.1428,0.5063,0.0,2,1,1
1450,582,0.2112,0.4998,0.0,2,1,1
3415,582,0.4151,0.5063,0.0,2,1,1
2405,582,0.2642,0.5063,0.0,2,1,1
3965,510,0.3507,0.6123,0.0,2,1,1
1904,582,0.2469,0.5063,0.0,2,1,1
591,510,0.1116,0.617,0.0,2,1,1
1727,403,0.2394,0.5015,0.0,2,1,1
1046,510,0.1511,0.7175,0.0,2,1,1
1062,582,0.1636,0.5231,0.0,2,1,1
206,403,0.0767,0.575,0.0,2,1,1
160,403,0.0725,0.6024,0.0,2,1,1
1780,510,0.1885,0.7176,0.0,2,1,1
391,403,0.0914,0.5646,0.0,2,1,1
381,403,0.0986,0.5692,0.0,2,1,1
240,403,0.079,0.5782,0.0,2,1,1
123,403,0.0695,0.5934,0.0,2,1,1
566,510,0.1215,0.733,0.0,2,1,1
2569,510,0.2611,0.6145,0.0,2,1,1
2270,510,0.2144,0.6086,0.0,2,1,1
115,403,0.0734,0.5684,0.0,2,1,1
1800,403,0.1738,0.5572,0.0,2,1,1
592,510,0.0966,0.7157,0.0,2,1,1
548,510,0.1069,0.7368,0.0,2,1,1
345,403,0.0989,0.5623,0.0,2,1,1
250,403,0.0866,0.5812,0.0,2,1,1
985,582,0.1597,0.5063,0.0,2,1,1
947,582,0.1806,0.5063,0.0,2,1,1
124,403,0.073,0.5797,0.0,2,1,1
1329,582,0.1886,0.5063,0.0,2,1,1
1239,510,0.1727,0.7288,0.0,2,1,1
4099,510,0.4016,0.6113,0.0,2,1,1
8124,510,0.7951,0.6102,0.0,2,1,1
871,510,0.1279,0.7374,0.0,2,1,1
152,403,0.0728,0.5864,0.0,2,1,1
451,510,0.1096,0.739,0.0,2,1,1
448,510,0.1119,0.7396,0.0,2,1,1
139,403,0.0818,0.5654,0.0,2,1,1
8642,582,0.907,0.5063,0.0,2,1,1
732,510,0.131,0.7109,0.0,2,1,1
698,510,0.1189,0.7297,0.0,2,1,1
1160,510,0.1561,0.6099,0.0,2,1,1
700,510,0.1255,0.7017,0.0,2,1,1
878,510,0.1147,0.6797,0.0,2,1,1
1322,510,0.1632,0.6103,0.0,2,1,1
5095,510,0.4443,0.6098,0.0,2,1,1
1024,510,0.1583,0.6879,0.0,2,1,1
105,403,0.0699,0.5806,0.0,2,1,1
112,403,0.0776,0.5783,0.0,2,1,1
3449,403,0.3142,0.5633,0.0,2,1,1
1775,582,0.2093,0.5063,0.0,2,1,1
1003,582,0.1605,0.5063,0.0,2,1,1
1075,510,0.168,0.7259,0.0,2,1,1
125,403,0.0742,0.5858,0.0,2,1,1
1392,510,0.187,0.6141,0.0,2,1,1
456,510,0.1079,0.7415,0.0,2,1,1
899,403,0.1284,0.5597,0.0,2,1,1
1080,582,0.1521,0.4983,0.0,2,1,1
938,582,0.1374,0.5063,0.0,2,1,1
915,582,0.1472,0.5063,0.0,2,1,1
142,403,0.0725,0.5812,0.0,2,1,1
3967,510,0.3577,0.6123,0.0,2,1,1
1440,582,0.1767,0.5063,0.0,2,1,1
1953,510,0.1914,0.6106,0.0,2,1,1
147,403,0.0729,0.5878,0.0,2,1,1
921,582,0.1696,0.5477,0.0,2,1,1
1597,510,0.173,0.6235,0.0,2,1,1
884,510,0.1243,0.7264,0.0,2,1,1
108,403,0.075,0.5831,0.0,2,1,1
101,403,0.0734,0.5916,0.0,2,1,1
6069,510,0.4884,0.6126,0.0,2,1,1
1409,582,0.1676,0.5063,0.0,2,1,1
3244,510,0.2916,0.6097,0.0,2,1,1
1120,582,0.1674,0.5063,0.0,2,1,1
937,582,0.1692,0.5063,0.0,2,1,1
2700,510,0.275,0.6065,0.0,2,1,1
1127,582,0.1701,0.5063,0.0,2,1,1
997,510,0.1405,0.7083,0.0,2,1,1
582,510,0.1199,0.7221,0.0,2,1,1
98,403,0.0743,0.5646,0.0,2,1,1
1018,510,0.1726,0.7166,0.0,2,1,1
1903,582,0.2019,0.5467,0.0,2,1,1
8424,582,0.7272,0.5063,0.0,2,1,1
3815,510,0.3008,0.6179,0.0,2,1,1
1587,403,0.1788,0.5668,0.0,2,1,1
