number_of_features,execution_times,fitness,times_by_iteration,test_times,train_scores,number_of_iterations,number_of_samples,task,max_iterations,optimizer,kernel
8000,7.6677,0.6053,0.8777,0.2397,0.6594,1.0,1082,ranking,1000,rbtree,linear
7800,7.2406,0.5062,0.8386,0.2066,0.567,1.0,1082,ranking,1000,rbtree,linear
7700,7.2189,0.5447,0.8613,0.2086,0.5764,1.0,1082,ranking,1000,rbtree,linear
8100,7.7797,0.5684,0.9315,0.2391,0.6226,1.0,1082,ranking,1000,rbtree,linear
8400,7.6713,0.4844,0.8533,0.2394,0.5061,1.0,1082,ranking,1000,rbtree,linear
8500,7.7104,0.4508,0.8855,0.2584,0.4846,1.0,1082,ranking,1000,rbtree,linear
8300,7.5575,0.586,0.8802,0.2179,0.5834,1.0,1082,ranking,1000,rbtree,linear
8200,7.4109,0.4768,0.8754,0.2211,0.5705,1.0,1082,ranking,1000,rbtree,linear
8600,7.7728,0.5554,0.9144,0.2332,0.6053,1.0,1082,ranking,1000,rbtree,linear
8900,7.8653,0.549,0.9099,0.2439,0.6384,1.0,1082,ranking,1000,rbtree,linear
9000,7.9707,0.4398,0.9008,0.276,0.488,1.0,1082,ranking,1000,rbtree,linear
8800,8.0192,0.558,0.9484,0.2382,0.632,1.0,1082,ranking,1000,rbtree,linear
8700,7.6632,0.503,0.8863,0.2441,0.5207,1.0,1082,ranking,1000,rbtree,linear
9100,8.4571,0.4953,0.9777,0.2718,0.5199,1.0,1082,ranking,1000,rbtree,linear
9400,8.3193,0.5589,1.0051,0.2468,0.617,1.0,1082,ranking,1000,rbtree,linear
9500,8.3106,0.4631,0.9629,0.2634,0.4948,1.0,1082,ranking,1000,rbtree,linear
9200,8.1571,0.4882,0.9577,0.2604,0.5167,1.0,1082,ranking,1000,rbtree,linear
9300,8.7383,0.5049,0.9841,0.3125,0.5283,1.0,1082,ranking,1000,rbtree,linear
9600,8.2361,0.5589,0.9634,0.2547,0.633,1.0,1082,ranking,1000,rbtree,linear
9900,8.2498,0.4582,0.9379,0.2698,0.4817,1.0,1082,ranking,1000,rbtree,linear
10000,8.6535,0.574,1.0238,0.2743,0.6055,1.0,1082,ranking,1000,rbtree,linear
9700,8.5256,0.4883,0.9982,0.2699,0.5105,1.0,1082,ranking,1000,rbtree,linear
9800,8.6344,0.4806,0.9922,0.2865,0.5109,1.0,1082,ranking,1000,rbtree,linear
10100,8.8142,0.4782,1.0189,0.2874,0.5105,1.0,1082,ranking,1000,rbtree,linear
10400,9.4481,0.514,1.066,0.3298,0.5275,1.0,1082,ranking,1000,rbtree,linear
10500,9.1966,0.466,1.0868,0.3021,0.4985,1.0,1082,ranking,1000,rbtree,linear
10300,8.8843,0.5518,1.0727,0.2729,0.6353,1.0,1082,ranking,1000,rbtree,linear
10200,9.1052,0.4894,1.0834,0.3162,0.5103,1.0,1082,ranking,1000,rbtree,linear
10800,9.2991,0.5688,1.0911,0.3039,0.6187,1.0,1082,ranking,1000,rbtree,linear
10700,8.9996,0.5602,1.0536,0.2827,0.5908,1.0,1082,ranking,1000,rbtree,linear
10600,8.9599,0.5681,1.0686,0.296,0.6073,1.0,1082,ranking,1000,rbtree,linear
10900,9.0747,0.4899,1.0539,0.2914,0.5116,1.0,1082,ranking,1000,rbtree,linear
11000,9.2664,0.5698,1.0975,0.3034,0.6047,1.0,1082,ranking,1000,rbtree,linear
11100,9.6775,0.5715,1.157,0.3147,0.6239,1.0,1082,ranking,1000,rbtree,linear
11400,10.0228,0.4623,1.1723,0.3775,0.4947,1.0,1082,ranking,1000,rbtree,linear
11500,9.7911,0.5585,1.1828,0.3187,0.6222,1.0,1082,ranking,1000,rbtree,linear
11300,9.7824,0.5036,1.1626,0.363,0.5285,1.0,1082,ranking,1000,rbtree,linear
11200,9.9139,0.4763,1.182,0.3612,0.4972,1.0,1082,ranking,1000,rbtree,linear
11700,9.9581,0.4438,1.1943,0.3327,0.4856,1.0,1082,ranking,1000,rbtree,linear
11800,9.8987,0.5665,1.2098,0.3081,0.6148,1.0,1082,ranking,1000,rbtree,linear
11600,9.5971,0.5584,1.1648,0.3244,0.5896,1.0,1082,ranking,1000,rbtree,linear
11900,9.7551,0.4548,1.1714,0.3233,0.4873,1.0,1082,ranking,1000,rbtree,linear
12000,10.5719,0.4776,1.3165,0.3795,0.5211,1.0,1082,ranking,1000,rbtree,linear
12200,10.0974,0.5417,1.2522,0.3428,0.6153,1.0,1082,ranking,1000,rbtree,linear
12100,9.8425,0.5882,1.1945,0.3194,0.6333,1.0,1082,ranking,1000,rbtree,linear
12400,10.3609,0.4464,1.2167,0.3712,0.4771,1.0,1082,ranking,1000,rbtree,linear
12500,10.4025,0.5552,1.2511,0.3545,0.6292,1.0,1082,ranking,1000,rbtree,linear
12300,10.1942,0.5505,1.2473,0.3579,0.6253,1.0,1082,ranking,1000,rbtree,linear
12700,11.0269,0.5658,1.351,0.3846,0.6137,1.0,1082,ranking,1000,rbtree,linear
12600,10.5794,0.4828,1.2559,0.3804,0.5287,1.0,1082,ranking,1000,rbtree,linear
12800,10.8023,0.4991,1.2932,0.4086,0.5065,1.0,1082,ranking,1000,rbtree,linear
12900,11.2985,0.4699,1.3619,0.4273,0.5162,1.0,1082,ranking,1000,rbtree,linear
13000,10.9895,0.5095,1.3196,0.3941,0.5345,1.0,1082,ranking,1000,rbtree,linear
13200,10.5942,0.5067,1.2626,0.3715,0.5471,1.0,1082,ranking,1000,rbtree,linear
13300,11.3833,0.5702,1.4028,0.4191,0.6033,1.0,1082,ranking,1000,rbtree,linear
13100,10.8992,0.5707,1.3306,0.382,0.6043,1.0,1082,ranking,1000,rbtree,linear
13400,11.0198,0.5076,1.3259,0.4095,0.5456,1.0,1082,ranking,1000,rbtree,linear
13500,11.2341,0.4945,1.3507,0.4427,0.5263,1.0,1082,ranking,1000,rbtree,linear
13600,11.5259,0.4574,1.3639,0.382,0.5118,1.0,1082,ranking,1000,rbtree,linear
13900,11.9012,0.5522,1.4818,0.3812,0.6176,1.0,1082,ranking,1000,rbtree,linear
14000,12.1773,0.4843,1.417,0.4703,0.5278,1.0,1082,ranking,1000,rbtree,linear
13800,11.9566,0.4839,1.4334,0.4461,0.5069,1.0,1082,ranking,1000,rbtree,linear
13700,11.4764,0.4584,1.3373,0.3765,0.5168,1.0,1082,ranking,1000,rbtree,linear
14200,11.6279,0.4942,1.4257,0.4377,0.5351,1.0,1082,ranking,1000,rbtree,linear
14300,11.7308,0.5587,1.4798,0.3893,0.6178,1.0,1082,ranking,1000,rbtree,linear
14100,11.6451,0.4354,1.3715,0.4604,0.4977,1.0,1082,ranking,1000,rbtree,linear
14400,12.1255,0.5312,1.4827,0.4878,0.622,1.0,1082,ranking,1000,rbtree,linear
14500,11.9688,0.4964,1.4509,0.4569,0.5319,1.0,1082,ranking,1000,rbtree,linear
14700,12.1775,0.488,1.5035,0.4552,0.5325,1.0,1082,ranking,1000,rbtree,linear
14600,12.2651,0.5541,1.5054,0.4355,0.6233,1.0,1082,ranking,1000,rbtree,linear
14900,12.5597,0.4584,1.5222,0.4678,0.517,1.0,1082,ranking,1000,rbtree,linear
15000,12.4407,0.4981,1.4592,0.4235,0.5323,1.0,1082,ranking,1000,rbtree,linear
14800,12.3894,0.4604,1.4483,0.4413,0.5074,1.0,1082,ranking,1000,rbtree,linear
15200,12.2782,0.5142,1.5108,0.423,0.5386,1.0,1082,ranking,1000,rbtree,linear
15100,12.0324,0.4842,1.4589,0.4381,0.5315,1.0,1082,ranking,1000,rbtree,linear
15400,12.765,0.4831,1.5423,0.517,0.5234,1.0,1082,ranking,1000,rbtree,linear
15500,12.4135,0.5013,1.4628,0.4639,0.5475,1.0,1082,ranking,1000,rbtree,linear
15300,12.2862,0.5748,1.5375,0.4574,0.6237,1.0,1082,ranking,1000,rbtree,linear
15800,12.6152,0.4957,1.5142,0.4886,0.5419,1.0,1082,ranking,1000,rbtree,linear
15600,12.2354,0.4985,1.4526,0.4627,0.5295,1.0,1082,ranking,1000,rbtree,linear
15900,12.3291,0.4857,1.4756,0.4719,0.5362,1.0,1082,ranking,1000,rbtree,linear
16000,12.6083,0.4792,1.5151,0.4694,0.5383,1.0,1082,ranking,1000,rbtree,linear
15700,12.1938,0.4956,1.4523,0.4335,0.547,1.0,1082,ranking,1000,rbtree,linear
16100,13.4226,0.469,1.6585,0.4937,0.5023,1.0,1082,ranking,1000,rbtree,linear
16400,13.6205,0.5778,1.7184,0.5125,0.6294,1.0,1082,ranking,1000,rbtree,linear
16500,13.306,0.4788,1.6415,0.5121,0.5298,1.0,1082,ranking,1000,rbtree,linear
16300,13.1005,0.4927,1.6536,0.4815,0.5467,1.0,1082,ranking,1000,rbtree,linear
16200,13.1448,0.5761,1.6641,0.492,0.6272,1.0,1082,ranking,1000,rbtree,linear
16600,13.7734,0.4836,1.743,0.5163,0.5299,1.0,1082,ranking,1000,rbtree,linear
16900,13.4695,0.4947,1.6667,0.4964,0.5413,1.0,1082,ranking,1000,rbtree,linear
17000,14.119,0.483,1.686,0.5747,0.5314,1.0,1082,ranking,1000,rbtree,linear
16800,13.3369,0.4784,1.6837,0.4786,0.5301,1.0,1082,ranking,1000,rbtree,linear
16700,13.3259,0.5114,1.6167,0.4934,0.5488,1.0,1082,ranking,1000,rbtree,linear
17100,13.5386,0.5046,1.6666,0.4899,0.5452,1.0,1082,ranking,1000,rbtree,linear
17400,13.608,0.477,1.6824,0.5058,0.5272,1.0,1082,ranking,1000,rbtree,linear
17500,13.555,0.4589,1.6858,0.4998,0.5239,1.0,1082,ranking,1000,rbtree,linear
17200,13.8853,0.4659,1.7344,0.526,0.5031,1.0,1082,ranking,1000,rbtree,linear
17300,13.7175,0.4445,1.7284,0.505,0.5217,1.0,1082,ranking,1000,rbtree,linear
17600,13.6497,0.4888,1.6949,0.5113,0.544,1.0,1082,ranking,1000,rbtree,linear
17900,13.9043,0.4759,1.6536,0.5173,0.5308,1.0,1082,ranking,1000,rbtree,linear
18000,13.9804,0.47,1.6937,0.5048,0.5128,1.0,1082,ranking,1000,rbtree,linear
17800,13.8446,0.4894,1.797,0.4895,0.5448,1.0,1082,ranking,1000,rbtree,linear
17700,13.6311,0.4768,1.7259,0.4764,0.5114,1.0,1082,ranking,1000,rbtree,linear
18300,14.5845,0.475,1.8119,0.5098,0.5254,1.0,1082,ranking,1000,rbtree,linear
18100,14.4341,0.477,1.807,0.5748,0.5314,1.0,1082,ranking,1000,rbtree,linear
18400,14.5226,0.477,1.8311,0.5351,0.5354,1.0,1082,ranking,1000,rbtree,linear
18500,14.6344,0.4747,1.8464,0.5729,0.5266,1.0,1082,ranking,1000,rbtree,linear
18200,14.4344,0.5712,1.842,0.5193,0.6256,1.0,1082,ranking,1000,rbtree,linear
18600,14.5657,0.4734,1.7874,0.5456,0.5324,1.0,1082,ranking,1000,rbtree,linear
18900,14.8721,0.4733,1.8485,0.5783,0.5318,1.0,1082,ranking,1000,rbtree,linear
19000,15.0636,0.4891,1.9009,0.5726,0.5445,1.0,1082,ranking,1000,rbtree,linear
18700,14.4778,0.478,1.7845,0.5317,0.5332,1.0,1082,ranking,1000,rbtree,linear
18800,15.1294,0.4797,1.8998,0.5858,0.5367,1.0,1082,ranking,1000,rbtree,linear
19200,16.2474,0.4781,2.0033,0.5688,0.5321,1.0,1082,ranking,1000,rbtree,linear
19100,14.917,0.475,1.8853,0.5434,0.532,1.0,1082,ranking,1000,rbtree,linear
19400,15.5975,0.4589,1.96,0.5941,0.5256,1.0,1082,ranking,1000,rbtree,linear
19500,15.1557,0.4765,1.8654,0.5783,0.5329,1.0,1082,ranking,1000,rbtree,linear
19300,15.1478,0.475,1.8841,0.591,0.5316,1.0,1082,ranking,1000,rbtree,linear
19600,15.3022,0.4747,1.8704,0.6083,0.5321,1.0,1082,ranking,1000,rbtree,linear
19700,15.4286,0.4773,1.8894,0.6253,0.5321,1.0,1082,ranking,1000,rbtree,linear
19800,16.5656,0.4769,2.08,0.5668,0.5323,1.0,1082,ranking,1000,rbtree,linear
19900,15.876,0.476,1.9413,0.648,0.5331,1.0,1082,ranking,1000,rbtree,linear
20000,16.7887,0.4764,2.0722,0.6171,0.533,1.0,1082,ranking,1000,rbtree,linear
100,15.1755,0.5588,0.3561,0.008,0.7404,7.0,1082,ranking,1000,rbtree,linear
400,4.7685,0.5367,0.2085,0.0158,0.7298,3.7,1082,ranking,1000,rbtree,linear
500,2.4374,0.5258,0.2131,0.0195,0.6073,1.0,1082,ranking,1000,rbtree,linear
200,2.2503,0.5669,0.1812,0.0114,0.6137,1.0,1082,ranking,1000,rbtree,linear
300,2.1459,0.5812,0.1446,0.0138,0.5477,1.0,1082,ranking,1000,rbtree,linear
600,2.326,0.5192,0.1683,0.0208,0.5436,1.0,1082,ranking,1000,rbtree,linear
900,2.6362,0.5134,0.2271,0.0276,0.6277,1.0,1082,ranking,1000,rbtree,linear
1000,2.5714,0.5836,0.2346,0.0307,0.6117,1.0,1082,ranking,1000,rbtree,linear
700,2.5027,0.4674,0.2048,0.0237,0.5687,1.0,1082,ranking,1000,rbtree,linear
800,2.5357,0.5683,0.216,0.0252,0.6011,1.0,1082,ranking,1000,rbtree,linear
1100,2.8329,0.5544,0.2653,0.0368,0.6233,1.0,1082,ranking,1000,rbtree,linear
1400,2.9796,0.5873,0.2845,0.0435,0.6067,1.0,1082,ranking,1000,rbtree,linear
1500,2.969,0.4279,0.2588,0.0439,0.5136,1.0,1082,ranking,1000,rbtree,linear
1300,2.7944,0.5831,0.2379,0.0383,0.5998,1.0,1082,ranking,1000,rbtree,linear
1200,2.6904,0.424,0.2227,0.0382,0.5004,1.0,1082,ranking,1000,rbtree,linear
1600,2.9388,0.4345,0.2573,0.0478,0.4813,1.0,1082,ranking,1000,rbtree,linear
1900,3.2757,0.5426,0.3244,0.0526,0.6435,1.0,1082,ranking,1000,rbtree,linear
2000,3.2981,0.5382,0.3139,0.0591,0.5679,1.0,1082,ranking,1000,rbtree,linear
1700,3.038,0.453,0.2611,0.0586,0.4762,1.0,1082,ranking,1000,rbtree,linear
1800,3.1493,0.5489,0.2888,0.0513,0.5994,1.0,1082,ranking,1000,rbtree,linear
2100,3.2812,0.5677,0.2938,0.0588,0.594,1.0,1082,ranking,1000,rbtree,linear
2400,3.5444,0.6001,0.3441,0.0643,0.6028,1.0,1082,ranking,1000,rbtree,linear
2500,3.7645,0.5788,0.3931,0.0713,0.6074,1.0,1082,ranking,1000,rbtree,linear
2200,3.4004,0.4795,0.3146,0.0653,0.484,1.0,1082,ranking,1000,rbtree,linear
2300,3.4958,0.4953,0.3337,0.0679,0.588,1.0,1082,ranking,1000,rbtree,linear
2600,3.7526,0.5703,0.3772,0.0717,0.6181,1.0,1082,ranking,1000,rbtree,linear
2900,3.9355,0.3928,0.3956,0.0799,0.4708,1.0,1082,ranking,1000,rbtree,linear
3000,4.1011,0.5619,0.4422,0.0818,0.6391,1.0,1082,ranking,1000,rbtree,linear
2800,3.8472,0.5154,0.3918,0.0911,0.5812,1.0,1082,ranking,1000,rbtree,linear
2700,3.7179,0.4653,0.3562,0.0806,0.48,1.0,1082,ranking,1000,rbtree,linear
3100,4.0521,0.5669,0.4127,0.09,0.6044,1.0,1082,ranking,1000,rbtree,linear
3400,4.2493,0.4967,0.4342,0.093,0.5291,1.0,1082,ranking,1000,rbtree,linear
3500,4.3326,0.5697,0.4472,0.0912,0.5839,1.0,1082,ranking,1000,rbtree,linear
3200,4.0551,0.4599,0.3997,0.0941,0.4691,1.0,1082,ranking,1000,rbtree,linear
3300,4.0744,0.4564,0.4048,0.0894,0.4688,1.0,1082,ranking,1000,rbtree,linear
3600,4.3289,0.3842,0.4407,0.1126,0.4955,1.0,1082,ranking,1000,rbtree,linear
3900,4.6107,0.5404,0.4724,0.1019,0.5729,1.0,1082,ranking,1000,rbtree,linear
4000,4.6451,0.5101,0.4737,0.1121,0.5312,1.0,1082,ranking,1000,rbtree,linear
3700,4.4902,0.5252,0.4623,0.1053,0.6002,1.0,1082,ranking,1000,rbtree,linear
3800,4.6742,0.582,0.481,0.1259,0.6312,1.0,1082,ranking,1000,rbtree,linear
4100,4.6596,0.5507,0.4965,0.117,0.6021,1.0,1082,ranking,1000,rbtree,linear
4400,4.8925,0.4519,0.4984,0.1181,0.5105,1.0,1082,ranking,1000,rbtree,linear
4500,4.9329,0.4856,0.504,0.1321,0.5021,1.0,1082,ranking,1000,rbtree,linear
4300,4.8382,0.4838,0.4942,0.119,0.4961,1.0,1082,ranking,1000,rbtree,linear
4200,4.7159,0.4815,0.4775,0.1124,0.4904,1.0,1082,ranking,1000,rbtree,linear
4600,5.2859,0.4543,0.5363,0.1395,0.5796,1.0,1082,ranking,1000,rbtree,linear
4900,5.4493,0.5917,0.5856,0.1378,0.6201,1.0,1082,ranking,1000,rbtree,linear
5000,5.6865,0.5996,0.6247,0.1525,0.6069,1.0,1082,ranking,1000,rbtree,linear
4700,5.3025,0.4541,0.5604,0.1306,0.4744,1.0,1082,ranking,1000,rbtree,linear
4800,5.3427,0.5718,0.604,0.1386,0.6204,1.0,1082,ranking,1000,rbtree,linear
5100,5.5257,0.5552,0.5931,0.1383,0.6025,1.0,1082,ranking,1000,rbtree,linear
5400,5.4869,0.4739,0.5902,0.1478,0.4932,1.0,1082,ranking,1000,rbtree,linear
5500,5.5842,0.5877,0.5889,0.1545,0.6117,1.0,1082,ranking,1000,rbtree,linear
5300,5.6639,0.4762,0.6108,0.156,0.5431,1.0,1082,ranking,1000,rbtree,linear
5200,5.5388,0.456,0.5921,0.1545,0.5623,1.0,1082,ranking,1000,rbtree,linear
5600,5.7119,0.4651,0.6217,0.1585,0.5186,1.0,1082,ranking,1000,rbtree,linear
5900,5.8613,0.5413,0.6504,0.1537,0.6278,1.0,1082,ranking,1000,rbtree,linear
6000,6.1404,0.5474,0.6538,0.1678,0.5816,1.0,1082,ranking,1000,rbtree,linear
5700,5.6022,0.4046,0.5995,0.1604,0.5416,1.0,1082,ranking,1000,rbtree,linear
5800,5.9571,0.5371,0.6667,0.1561,0.6024,1.0,1082,ranking,1000,rbtree,linear
6100,6.0525,0.396,0.6906,0.1668,0.5151,1.0,1082,ranking,1000,rbtree,linear
6400,6.5043,0.5151,0.7371,0.1879,0.5395,1.0,1082,ranking,1000,rbtree,linear
6500,6.5611,0.5575,0.7559,0.19,0.6125,1.0,1082,ranking,1000,rbtree,linear
6200,6.2376,0.5576,0.6892,0.1717,0.618,1.0,1082,ranking,1000,rbtree,linear
6300,6.3535,0.4861,0.7047,0.181,0.4983,1.0,1082,ranking,1000,rbtree,linear
6700,6.57,0.4517,0.756,0.185,0.5382,1.0,1082,ranking,1000,rbtree,linear
6600,6.8096,0.5581,0.7423,0.1903,0.5994,1.0,1082,ranking,1000,rbtree,linear
6800,6.8774,0.4762,0.7391,0.1992,0.506,1.0,1082,ranking,1000,rbtree,linear
6900,7.0465,0.5771,0.7828,0.1955,0.6157,1.0,1082,ranking,1000,rbtree,linear
7000,6.99,0.5377,0.7585,0.2013,0.603,1.0,1082,ranking,1000,rbtree,linear
7100,7.03,0.4463,0.7876,0.197,0.5608,1.0,1082,ranking,1000,rbtree,linear
7400,7.2942,0.5616,0.8314,0.2005,0.6088,1.0,1082,ranking,1000,rbtree,linear
7500,7.4389,0.5876,0.8263,0.229,0.605,1.0,1082,ranking,1000,rbtree,linear
7200,7.3065,0.5784,0.8455,0.1989,0.6261,1.0,1082,ranking,1000,rbtree,linear
7300,7.2536,0.589,0.8166,0.1995,0.6208,1.0,1082,ranking,1000,rbtree,linear
7700,7.1626,0.5665,0.8241,0.2024,0.6157,1.0,1082,ranking,1000,rbtree,linear
7800,7.4135,0.5521,0.8816,0.2171,0.6215,1.0,1082,ranking,1000,rbtree,linear
7600,7.267,0.5715,0.8314,0.2224,0.624,1.0,1082,ranking,1000,rbtree,linear
7900,7.4392,0.5268,0.8569,0.2438,0.617,1.0,1082,ranking,1000,rbtree,linear
8000,7.4838,0.5824,0.8693,0.2312,0.6285,1.0,1082,ranking,1000,rbtree,linear
8200,7.6651,0.5145,0.8911,0.2585,0.5997,1.0,1082,ranking,1000,rbtree,linear
8100,7.4589,0.4656,0.8463,0.2413,0.4937,1.0,1082,ranking,1000,rbtree,linear
8400,7.4414,0.5601,0.8537,0.2379,0.5947,1.0,1082,ranking,1000,rbtree,linear
8500,7.8105,0.5686,0.925,0.2272,0.6245,1.0,1082,ranking,1000,rbtree,linear
8300,7.4874,0.4984,0.8489,0.2291,0.5261,1.0,1082,ranking,1000,rbtree,linear
8700,8.1424,0.5806,0.9721,0.2494,0.6289,1.0,1082,ranking,1000,rbtree,linear
8800,7.683,0.5018,0.8831,0.2301,0.5385,1.0,1082,ranking,1000,rbtree,linear
8600,8.2871,0.5746,0.9654,0.2874,0.6369,1.0,1082,ranking,1000,rbtree,linear
8900,8.0863,0.5471,0.9653,0.25,0.5926,1.0,1082,ranking,1000,rbtree,linear
9000,8.2107,0.5498,0.9598,0.2729,0.6039,1.0,1082,ranking,1000,rbtree,linear
9100,8.2027,0.4739,0.9563,0.2727,0.5028,1.0,1082,ranking,1000,rbtree,linear
9400,8.4674,0.4913,0.9814,0.2996,0.5076,1.0,1082,ranking,1000,rbtree,linear
9500,8.6011,0.5798,1.0316,0.2737,0.625,1.0,1082,ranking,1000,rbtree,linear
9200,8.3455,0.4275,0.999,0.2515,0.5566,1.0,1082,ranking,1000,rbtree,linear
9300,8.239,0.5588,0.982,0.2566,0.6006,1.0,1082,ranking,1000,rbtree,linear
9600,8.567,0.5619,1.0174,0.2759,0.6027,1.0,1082,ranking,1000,rbtree,linear
9900,8.5654,0.5329,1.0023,0.2721,0.6282,1.0,1082,ranking,1000,rbtree,linear
10000,8.7528,0.4901,1.0071,0.2944,0.5138,1.0,1082,ranking,1000,rbtree,linear
9800,8.5888,0.5556,0.9957,0.2777,0.5676,1.0,1082,ranking,1000,rbtree,linear
9700,8.5313,0.5441,1.0156,0.2835,0.5947,1.0,1082,ranking,1000,rbtree,linear
10100,8.7435,0.4858,1.027,0.2794,0.5035,1.0,1082,ranking,1000,rbtree,linear
10400,9.0136,0.5479,1.093,0.2751,0.6246,1.0,1082,ranking,1000,rbtree,linear
10500,9.0884,0.4806,1.0588,0.3015,0.5275,1.0,1082,ranking,1000,rbtree,linear
10200,9.0521,0.4782,1.0729,0.2978,0.4996,1.0,1082,ranking,1000,rbtree,linear
10300,9.0403,0.5347,1.0999,0.288,0.6218,1.0,1082,ranking,1000,rbtree,linear
10600,9.465,0.5532,1.1125,0.343,0.596,1.0,1082,ranking,1000,rbtree,linear
10900,9.2897,0.5798,1.1,0.2967,0.6281,1.0,1082,ranking,1000,rbtree,linear
11000,9.4743,0.451,1.0844,0.3418,0.4898,1.0,1082,ranking,1000,rbtree,linear
10700,9.4343,0.5729,1.1092,0.3043,0.6084,1.0,1082,ranking,1000,rbtree,linear
10800,9.3305,0.4847,1.0926,0.3255,0.4994,1.0,1082,ranking,1000,rbtree,linear
11200,9.5699,0.5514,1.1687,0.299,0.6055,1.0,1082,ranking,1000,rbtree,linear
11300,9.6863,0.5665,1.174,0.3458,0.6239,1.0,1082,ranking,1000,rbtree,linear
11100,9.0952,0.4524,1.0514,0.3416,0.4871,1.0,1082,ranking,1000,rbtree,linear
11400,9.6407,0.4884,1.1386,0.334,0.5284,1.0,1082,ranking,1000,rbtree,linear
11500,9.8642,0.4942,1.1552,0.3892,0.5328,1.0,1082,ranking,1000,rbtree,linear
11800,9.9374,0.5315,1.1922,0.3467,0.5472,1.0,1082,ranking,1000,rbtree,linear
11600,9.9551,0.496,1.1823,0.3397,0.5252,1.0,1082,ranking,1000,rbtree,linear
11700,10.1413,0.4822,1.1944,0.3652,0.5281,1.0,1082,ranking,1000,rbtree,linear
11900,10.0808,0.5026,1.1898,0.3681,0.5278,1.0,1082,ranking,1000,rbtree,linear
12000,10.1564,0.4737,1.2012,0.3402,0.5161,1.0,1082,ranking,1000,rbtree,linear
12300,10.124,0.4619,1.1921,0.3302,0.5088,1.0,1082,ranking,1000,rbtree,linear
12100,10.2732,0.5187,1.2195,0.3799,0.5364,1.0,1082,ranking,1000,rbtree,linear
12200,10.2507,0.4866,1.2308,0.3458,0.5143,1.0,1082,ranking,1000,rbtree,linear
12400,10.0397,0.4659,1.2268,0.3649,0.5217,1.0,1082,ranking,1000,rbtree,linear
12500,10.5213,0.5277,1.2478,0.3609,0.549,1.0,1082,ranking,1000,rbtree,linear
12600,10.2661,0.5125,1.2238,0.367,0.5271,1.0,1082,ranking,1000,rbtree,linear
12900,10.47,0.5068,1.2474,0.3528,0.5235,1.0,1082,ranking,1000,rbtree,linear
13000,10.9409,0.5602,1.3595,0.4221,0.5867,1.0,1082,ranking,1000,rbtree,linear
12800,11.5691,0.4743,1.422,0.4154,0.5232,1.0,1082,ranking,1000,rbtree,linear
12700,10.5432,0.5718,1.2976,0.3451,0.629,1.0,1082,ranking,1000,rbtree,linear
13200,11.2732,0.5731,1.3982,0.3939,0.6287,1.0,1082,ranking,1000,rbtree,linear
13300,11.1212,0.4788,1.3286,0.4113,0.507,1.0,1082,ranking,1000,rbtree,linear
13100,10.946,0.5827,1.3757,0.3437,0.6187,1.0,1082,ranking,1000,rbtree,linear
13400,11.2926,0.5739,1.4017,0.3607,0.6224,1.0,1082,ranking,1000,rbtree,linear
13500,11.2315,0.4946,1.4202,0.3776,0.5434,1.0,1082,ranking,1000,rbtree,linear
13800,11.6729,0.4832,1.4103,0.3828,0.5147,1.0,1082,ranking,1000,rbtree,linear
13700,11.712,0.5879,1.448,0.3781,0.6236,1.0,1082,ranking,1000,rbtree,linear
13600,11.7358,0.5479,1.427,0.3863,0.624,1.0,1082,ranking,1000,rbtree,linear
13900,11.6762,0.5238,1.3821,0.3783,0.5555,1.0,1082,ranking,1000,rbtree,linear
14000,11.5085,0.572,1.4065,0.3944,0.6221,1.0,1082,ranking,1000,rbtree,linear
14300,11.3341,0.4762,1.3405,0.3975,0.5295,1.0,1082,ranking,1000,rbtree,linear
14200,11.8813,0.5293,1.4813,0.423,0.5535,1.0,1082,ranking,1000,rbtree,linear
14100,11.3136,0.4394,1.3393,0.4353,0.4983,1.0,1082,ranking,1000,rbtree,linear
14400,11.609,0.4712,1.4367,0.3889,0.5213,1.0,1082,ranking,1000,rbtree,linear
14500,12.3224,0.4943,1.5294,0.4428,0.5258,1.0,1082,ranking,1000,rbtree,linear
14600,11.8555,0.5189,1.4308,0.441,0.5518,1.0,1082,ranking,1000,rbtree,linear
14900,12.7074,0.4705,1.5491,0.4212,0.5165,1.0,1082,ranking,1000,rbtree,linear
15000,12.8898,0.5027,1.5558,0.4542,0.543,1.0,1082,ranking,1000,rbtree,linear
14700,12.0845,0.501,1.4535,0.3916,0.5261,1.0,1082,ranking,1000,rbtree,linear
14800,12.8976,0.5621,1.5375,0.4411,0.6239,1.0,1082,ranking,1000,rbtree,linear
15100,12.2055,0.4712,1.4642,0.4693,0.5181,1.0,1082,ranking,1000,rbtree,linear
15400,12.601,0.4905,1.5295,0.4118,0.5219,1.0,1082,ranking,1000,rbtree,linear
15500,13.4263,0.412,1.6323,0.4983,0.5002,1.0,1082,ranking,1000,rbtree,linear
15300,13.0923,0.5369,1.5387,0.5116,0.629,1.0,1082,ranking,1000,rbtree,linear
15200,12.9689,0.5653,1.5656,0.4814,0.6253,1.0,1082,ranking,1000,rbtree,linear
15700,12.7588,0.4764,1.554,0.432,0.53,1.0,1082,ranking,1000,rbtree,linear
15600,12.73,0.5246,1.5731,0.4782,0.5569,1.0,1082,ranking,1000,rbtree,linear
15800,12.957,0.4755,1.5939,0.5088,0.5289,1.0,1082,ranking,1000,rbtree,linear
