number_of_features,execution_times,fitness,times_by_iteration,test_times,train_scores,number_of_iterations,number_of_samples,task,max_iterations,optimizer,kernel
6300,23.2186,0.6628,0.2552,0.168,1.0,27.5,1082,ranking,1000,avltree,rbf
6200,24.4098,0.6779,0.2421,0.1786,1.0,27.1,1082,ranking,1000,avltree,rbf
6600,22.5248,0.6611,0.2394,0.1861,1.0,26.0,1082,ranking,1000,avltree,rbf
6900,24.9667,0.6503,0.2427,0.224,1.0,27.3,1082,ranking,1000,avltree,rbf
7000,24.4429,0.6612,0.2481,0.195,1.0,27.0,1082,ranking,1000,avltree,rbf
6800,22.2972,0.668,0.2493,0.1781,1.0,27.0,1082,ranking,1000,avltree,rbf
6700,25.4585,0.6555,0.2603,0.174,0.9999,28.4,1082,ranking,1000,avltree,rbf
7100,27.8668,0.6372,0.2745,0.2086,1.0,29.5,1082,ranking,1000,avltree,rbf
7400,25.3931,0.657,0.2543,0.1999,0.9999,27.4,1082,ranking,1000,avltree,rbf
7500,26.7336,0.6751,0.2668,0.2189,0.9999,29.5,1082,ranking,1000,avltree,rbf
7200,26.3947,0.6363,0.2643,0.2052,0.9999,29.2,1082,ranking,1000,avltree,rbf
7300,25.3752,0.6589,0.2568,0.1897,0.9999,28.2,1082,ranking,1000,avltree,rbf
7600,22.4014,0.6666,0.2401,0.2157,1.0,26.4,1082,ranking,1000,avltree,rbf
7900,21.957,0.6519,0.2408,0.2258,0.9999,23.9,1082,ranking,1000,avltree,rbf
8000,23.2842,0.6402,0.2529,0.2311,1.0,27.1,1082,ranking,1000,avltree,rbf
7800,25.215,0.6504,0.2599,0.212,0.9999,27.8,1082,ranking,1000,avltree,rbf
7700,26.0919,0.6627,0.2702,0.215,0.9999,28.3,1082,ranking,1000,avltree,rbf
8100,26.8251,0.6364,0.253,0.2345,1.0,28.4,1082,ranking,1000,avltree,rbf
8400,23.4879,0.6541,0.2453,0.2235,0.9999,25.7,1082,ranking,1000,avltree,rbf
8500,26.3941,0.6556,0.2676,0.2358,1.0,28.2,1082,ranking,1000,avltree,rbf
8300,26.2124,0.6575,0.2526,0.2333,0.9999,28.3,1082,ranking,1000,avltree,rbf
8200,26.794,0.6536,0.2564,0.2398,0.9999,29.8,1082,ranking,1000,avltree,rbf
8600,25.848,0.6545,0.2437,0.2486,1.0,27.4,1082,ranking,1000,avltree,rbf
8900,25.2914,0.6359,0.2467,0.2403,0.9999,27.1,1082,ranking,1000,avltree,rbf
9000,27.1032,0.628,0.2593,0.2576,1.0,28.4,1082,ranking,1000,avltree,rbf
8800,23.1478,0.6286,0.2508,0.2411,1.0,25.7,1082,ranking,1000,avltree,rbf
8700,25.2118,0.6375,0.2447,0.2554,1.0,26.8,1082,ranking,1000,avltree,rbf
9100,23.8684,0.6587,0.2557,0.2443,0.9999,27.5,1082,ranking,1000,avltree,rbf
9400,26.4228,0.6582,0.2577,0.264,0.9999,28.5,1082,ranking,1000,avltree,rbf
9500,19.5639,0.6259,0.2182,0.2773,0.9999,22.5,1082,ranking,1000,avltree,rbf
9300,26.6766,0.628,0.2581,0.2772,0.9999,27.2,1082,ranking,1000,avltree,rbf
9200,26.9222,0.6604,0.2703,0.2423,1.0,28.2,1082,ranking,1000,avltree,rbf
9700,27.2162,0.6528,0.2577,0.2833,1.0,27.7,1082,ranking,1000,avltree,rbf
9600,26.7372,0.6489,0.2597,0.2861,0.9999,29.1,1082,ranking,1000,avltree,rbf
9900,25.8189,0.6743,0.2544,0.2879,0.9999,27.7,1082,ranking,1000,avltree,rbf
10000,25.3368,0.6481,0.25,0.2723,1.0,26.8,1082,ranking,1000,avltree,rbf
9800,25.3962,0.6671,0.2468,0.2753,0.9999,27.1,1082,ranking,1000,avltree,rbf
10300,26.3327,0.6648,0.262,0.2681,0.9999,27.9,1082,ranking,1000,avltree,rbf
10100,24.5063,0.6735,0.2565,0.2871,0.9999,26.0,1082,ranking,1000,avltree,rbf
10400,26.7747,0.6397,0.2584,0.2753,1.0,28.2,1082,ranking,1000,avltree,rbf
10500,25.7805,0.6584,0.2494,0.2968,1.0,26.7,1082,ranking,1000,avltree,rbf
10200,27.4445,0.678,0.2647,0.2958,0.9999,27.9,1082,ranking,1000,avltree,rbf
10800,27.3684,0.6645,0.2492,0.3125,1.0,27.8,1082,ranking,1000,avltree,rbf
10700,27.3894,0.684,0.264,0.2996,0.9999,27.8,1082,ranking,1000,avltree,rbf
10600,28.4275,0.663,0.2777,0.3066,1.0,29.1,1082,ranking,1000,avltree,rbf
