Iteration,Mean,Std
1.0,5015.578230539958,546.7951649566086
2.0,4445.174328327179,315.0738183204244
3.0,4248.682486931483,314.75190285563724
4.0,4101.441421747208,315.0554961252718
5.0,4031.2043908437095,316.0140144884249
6.0,4032.631749153137,309.53405156922366
7.0,4017.589481433233,303.073529043902
8.0,3993.995703538259,305.2388708384942
9.0,3921.0687096913657,290.5138742739735
10.0,3888.842698494593,288.2823366676432
11.0,3864.8038227558136,271.9614504733097
12.0,3835.155519644419,278.0998017773461
13.0,3898.6954443454742,289.4451483833752
14.0,3955.0850369135537,286.1796111912918
15.0,3957.039841334025,278.0124802615063
16.0,3973.7077408631644,304.622700441599
17.0,3961.365386724472,278.03639937908264
18.0,3987.301817178726,296.68241541396145
19.0,4181.775335152944,304.4053938696633
20.0,4264.489639838536,315.0665592182416
21.0,4392.1242646376295,301.21620227795233
22.0,4580.177888393402,337.842373393858
23.0,4906.740353663762,341.51110368589354
24.0,5321.301421324412,405.3038599526215
25.0,5520.222020069758,424.3843895312128
