Iteration,Mean,Std
2.0,4408.546673695247,178.57755581300708
3.0,4228.4226111571,370.56621537296536
4.0,4076.256999095281,366.36287617739447
5.0,4004.3213749726615,363.4179485357279
6.0,4005.634132305781,357.5600942899786
7.0,3983.2507050037384,355.93938732491193
8.0,3913.4788579940796,246.46764207347863
9.0,3861.379013776779,298.15540082757934
10.0,3852.398214737574,327.7499245778203
11.0,3827.650058666865,314.29316537495527
12.0,3797.1217757066092,317.7730850794395
13.0,3852.6955506006875,311.1148443828807
14.0,3912.779116630554,324.2917173099983
15.0,3917.5061880747476,319.318486584771
16.0,3927.7564787069955,320.38546979131837
17.0,3912.9202675024667,310.17796121657625
18.0,3944.584460258484,322.31008245383583
19.0,4140.094839652379,339.44015632780844
20.0,4218.5902987321215,346.18676913883775
21.0,4348.449460983276,367.7039462605939
22.0,4533.812824964523,366.07045021862893
23.0,4851.793392260869,386.6040833232138
24.0,5260.625240325928,433.68421077087305
25.0,5450.316638469696,427.80545672197474
