Iteration,Mean,Std
1.0,4976.238515615463,155.04438460024065
2.0,4378.445236365001,315.9132888330905
3.0,4176.7186988989515,330.2247281484792
4.0,4020.141814549764,453.3870263153828
5.0,3939.677234252294,295.2401310506351
6.0,3944.0485026836395,301.6976390225036
7.0,3927.6632961432138,299.61412306097304
8.0,3903.3772043387094,298.73611794989904
9.0,3831.5506303310394,279.7307636833489
10.0,3803.4553786913552,279.263448832778
11.0,3777.8361740907035,269.41922844217663
12.0,3747.794891754786,268.79504708081015
13.0,3809.313556353251,277.927299960853
14.0,3863.574471950531,280.2962789699098
15.0,3871.90230067571,281.9824880831653
16.0,3880.2905954519906,273.41329720619837
17.0,3868.3430964946747,277.7254612676762
18.0,3893.7848904132843,290.1861874531829
19.0,4086.6887628237405,294.0024064486148
20.0,4161.916259606679,276.47218680165145
21.0,4292.948699156444,297.4219088309166
22.0,4480.285258134206,294.5902138721686
23.0,4797.019952297211,372.20889839049335
24.0,5196.780614058177,409.62627230929985
25.0,5382.678351720174,386.9029917907232
