Iteration,Mean,Std
1.0,5042.3626537323,412.5393971103278
2.0,4426.040700038274,330.3422191574769
3.0,4220.873447577159,338.5297766708349
4.0,4058.0867371559143,315.75992226725856
5.0,3976.4991467793784,303.0347025007811
6.0,3987.4778254032135,306.1833814574524
7.0,3963.6451485951743,296.65106536986826
8.0,3932.985407511393,288.706060021164
9.0,3862.0769970417023,294.92084693527397
10.0,3833.9518558979034,283.4565974545071
11.0,3806.188410361608,267.6963622539393
12.0,3773.2993593215942,274.33803879542666
13.0,3836.525483687719,285.6731544806182
14.0,3888.9385221004486,277.03264630287896
15.0,3907.5202967325845,269.8704192386474
16.0,3905.0221361319223,284.35664610584536
17.0,3892.790608962377,276.10249402391287
18.0,3916.23912525177,272.8266582477486
19.0,4114.333694855372,284.55026345015636
20.0,4192.091796557109,297.9537233652068
21.0,4320.575953563054,304.98349498244863
22.0,4504.121518135071,330.1878340686857
23.0,4827.085311810176,372.9927343512413
24.0,5229.939209461212,371.77474473685163
25.0,5421.532336314519,386.17475921524965
