Iteration,Mean,Std
1.0,103.99324504534404,62.13182157677474
3.0,58.43009106318156,28.151786108954493
4.0,68.22431135177612,34.27362783848936
6.0,55.56408174832662,27.930774870286214
7.0,63.959302028020225,33.25965006381344
8.0,64.09330105781555,33.403486465156625
9.0,58.55557036399841,31.607502747338103
10.0,63.73105804125468,34.75800310916587
11.0,64.97722029685974,36.272006286866265
12.0,66.25385928153992,37.07098126944519
13.0,65.6883602142334,37.49610159586233
14.0,65.1310551961263,36.99577957978448
15.0,89.33311780293782,63.69146100939741
16.0,68.66069674491882,39.40532877319599
17.0,67.33275214831035,36.20617928220861
18.0,70.95845588048299,38.2249963594277
19.0,72.83192420005798,36.87771826163108
20.0,75.08610264460246,42.262284789558436
21.0,90.64092874526978,51.888928507157395
22.0,116.73851641019185,71.84943708853257
23.0,125.01834623018901,78.22225832613283
24.0,130.64337269465128,81.5172047339761
25.0,1276.7020471096039,618.984252145409
