Iteration,Mean,Std
1.0,135.82318425178528,56.355165635761374
2.0,116.83348576227824,49.28769606490244
3.0,69.23427128791809,36.14040143495878
4.0,66.43874907493591,33.462459290600776
5.0,92.23724365234375,27.41355485856873
6.0,52.73089941342672,25.586018809906754
7.0,63.57294034957886,33.36997104774394
8.0,61.005563735961914,31.574965798507957
9.0,59.84371876716614,31.80132518292254
10.0,63.5919820467631,35.05752593123751
11.0,59.53656244277954,32.71763920104412
12.0,59.636450131734215,32.80961228169602
13.0,61.71584908167521,33.809483060822515
14.0,64.11108175913493,36.01181498480979
15.0,68.59742617607117,38.586957083834406
16.0,68.62077180544536,38.691333046317794
17.0,60.527403831481934,33.07724802846654
18.0,68.71836018562317,39.33902095397355
19.0,64.60829488436381,36.36782020360216
20.0,76.74158310890198,44.42882181367615
21.0,98.65512291590373,59.455767953649854
22.0,110.56428734461467,67.60830473601253
23.0,160.94473147392273,102.38083754312028
24.0,133.91020290056863,82.63017322239925
25.0,1489.2581457297008,839.2270393105945
