Iteration,Mean,Std
1.0,111.3527991771698,47.51762548454848
2.0,76.67413798967998,40.14310647325767
3.0,67.08058245976765,34.08257255255275
4.0,66.06011041005452,32.99890592749127
5.0,64.30220055580139,33.84647415548692
6.0,63.14860614140829,33.77759186472867
7.0,62.13143277168274,33.08379440039089
8.0,60.59670750300089,32.06879570508865
9.0,61.983248472213745,33.573435259104706
10.0,62.74155362447103,33.60763118344295
11.0,62.68907141685486,34.19916742135573
12.0,63.756137212117515,34.89740943503228
13.0,70.15290252367656,39.619713470329614
14.0,70.71119403839111,38.6979858960994
15.0,71.67847100893657,39.37554921515263
16.0,70.01725014050801,38.796890270453545
17.0,72.85898733139038,40.29272057660341
18.0,70.27982719739278,39.64121169115211
19.0,75.60366328557332,42.72039424245735
20.0,86.71042664845784,50.7866610617558
21.0,79.93775248527527,45.35284846629943
22.0,124.63450288772583,75.7376177764872
23.0,94.33372219403584,54.92853469566077
24.0,139.2376393477122,84.95031063997413
25.0,1285.297563234965,386.0686904185949
